BinCenter,Count
0.3985,8033
0.3995,8257
0.4005,8273
0.4015,8226
0.4025,8327
0.4035,8240
0.4045,8124
0.4055,8230
0.4065,8388
0.4075,8251
0.4085,8303
0.4095,8192
0.4105,8369
0.4115,8085
0.4125,8335
0.4135,8277
0.4145,8053
0.4155,8186
0.4165,8143
0.4175,8191
0.4185,8136
0.4195,8149
0.4205,8098
0.4215,8292
0.4225,8253
0.4235,8258
0.4245,8151
0.4255,8208
0.4265,8084
0.4275,8238
0.4285,8064
0.4295,8086
0.4305,8172
0.4315,8281
0.4325,8290
0.4335,8105
0.4345,8167
0.4355,8222
0.4365,8120
0.4375,8129
0.4385,8065
0.4395,8207
0.4405,8108
0.4415,8001
0.4425,8097
0.4435,8219
0.4445,8133
0.4455,8208
0.4465,8159
0.4475,8002
0.4485,7899
0.4495,7871
0.4505,8034
0.4515,8229
0.4525,8008
0.4535,8143
0.4545,8115
0.4555,8186
0.4565,7969
0.4575,8040
0.4585,7875
0.4595,8222
0.4605,7933
0.4615,8057
0.4625,7940
0.4635,8130
0.4645,8070
0.4655,8085
0.4665,8051
0.4675,8145
0.4685,8093
0.4695,8073
0.4705,8205
0.4715,8041
0.4725,7974
0.4735,8156
0.4745,8273
0.4755,8145
0.4765,8075
0.4775,8233
0.4785,8019
0.4795,7986
0.4805,8069
0.4815,8025
0.4825,8080
0.4835,8074
0.4845,8051
0.4855,8067
0.4865,7974
0.4875,8043
0.4885,8123
0.4895,7890
0.4905,8114
0.4915,7966
0.4925,8105
0.4935,8107
0.4945,8077
0.4955,8021
0.4965,8022
0.4975,7959
0.4985,8173
0.4995,8044
0.5005,7958
0.5015,8166
0.5025,8048
0.5035,7902
0.5045,8155
0.5055,7963
0.5065,8012
0.5075,7868
0.5085,7875
0.5095,8088
0.5105,11773
0.5115,8062
0.5125,7985
0.5135,8072
0.5145,7999
0.5155,8139
0.5165,7989
0.5175,8111
0.5185,8082
0.5195,7986
0.5205,7943
0.5215,8125
0.5225,7987
0.5235,8164
0.5245,8033
0.5255,8017
0.5265,8055
0.5275,8179
0.5285,7923
0.5295,8053
0.5305,8057
0.5315,7942
0.5325,8144
0.5335,7976
0.5345,7892
0.5355,8039
0.5365,8036
0.5375,8045
0.5385,7908
0.5395,8028
0.5405,7992
0.5415,7999
0.5425,8093
0.5435,8008
0.5445,8129
0.5455,8106
0.5465,8098
0.5475,7915
0.5485,8002
0.5495,8021
0.5505,8033
0.5515,7911
0.5525,8017
0.5535,7947
0.5545,8126
0.5555,8079
0.5565,8014
0.5575,8003
0.5585,7984
0.5595,8135
0.5605,7915
0.5615,7990
0.5625,8028
0.5635,8088
0.5645,8004
0.5655,8145
0.5665,8088
0.5675,8016
0.5685,8277
0.5695,8111
0.5705,8156
0.5715,8152
0.5725,8124
0.5735,8067
0.5745,8101
0.5755,8103
0.5765,7930
0.5775,8180
0.5785,8230
0.5795,8219
0.5805,8113
0.5815,8142
0.5825,8022
0.5835,7961
0.5845,8038
0.5855,7983
0.5865,7923
0.5875,8037
0.5885,8151
0.5895,8080
0.5905,8141
0.5915,8186
0.5925,8136
0.5935,8127
0.5945,8081
0.5955,8024
0.5965,8077
0.5975,8199
0.5985,8004
0.5995,8062
0.6005,8016
0.6015,7814
0.6025,8150
0.6035,8322
0.6045,8277
0.6055,7949
0.6065,8131
0.6075,8112
0.6085,7940
0.6095,8276
0.6105,8227
0.6115,8056
0.6125,8101
0.6135,8114
0.6145,8190
0.6155,7989
0.6165,8091
0.6175,8115
0.6185,8211
0.6195,8058
0.6205,8196
0.6215,8098
0.6225,8299
0.6235,8189
0.6245,8066
0.6255,8300
0.6265,8387
0.6275,8375
0.6285,8169
0.6295,8165
0.6305,8155
0.6315,8249
0.6325,8256
0.6335,8097
0.6345,8206
0.6355,8379
0.6365,8389
0.6375,8304
0.6385,8203
0.6395,8131
0.6405,8160
0.6415,8269
0.6425,8302
0.6435,8163
0.6445,8288
0.6455,8119
0.6465,8227
0.6475,8315
0.6485,8285
0.6495,8081
0.6505,8222
0.6515,8347
0.6525,8246
0.6535,8355
0.6545,8289
0.6555,8373
0.6565,8204
0.6575,8393
0.6585,8219
0.6595,8275
0.6605,8327
0.6615,8238
0.6625,8230
0.6635,8261
0.6645,8362
0.6655,8399
0.6665,8252
0.6675,8431
0.6685,8468
0.6695,8186
0.6705,8282
0.6715,8296
0.6725,8371
0.6735,8346
0.6745,8499
0.6755,8449
0.6765,8333
0.6775,8321
0.6785,8432
0.6795,8198
0.6805,8331
0.6815,8344
0.6825,8425
0.6835,8449
0.6845,8348
0.6855,8271
0.6865,8406
0.6875,8173
0.6885,8427
0.6895,8503
0.6905,8407
0.6915,8464
0.6925,8678
0.6935,8338
0.6945,8424
0.6955,8366
0.6965,8622
0.6975,8473
0.6985,8539
0.6995,8521
0.7005,8285
0.7015,8566
0.7025,8595
0.7035,8506
0.7045,8428
0.7055,8544
0.7065,8777
0.7075,8559
0.7085,8537
0.7095,8519
0.7105,8589
0.7115,8590
0.7125,8381
0.7135,8640
0.7145,8514
0.7155,8583
0.7165,8621
0.7175,8627
0.7185,8628
0.7195,8622
0.7205,8666
0.7215,8689
0.7225,8618
0.7235,8475
0.7245,8588
0.7255,8682
0.7265,8736
0.7275,8643
0.7285,8682
0.7295,8550
0.7305,8735
0.7315,8723
0.7325,8843
0.7335,8660
0.7345,8682
0.7355,8824
0.7365,8694
0.7375,8776
0.7385,8574
0.7395,8648
0.7405,8689
0.7415,8802
0.7425,8844
0.7435,8789
0.7445,8768
0.7455,8754
0.7465,8778
0.7475,8800
0.7485,8643
0.7495,8828
0.7505,8758
0.7515,8942
0.7525,8940
0.7535,8959
0.7545,8814
0.7555,8875
0.7565,8755
0.7575,8786
0.7585,8729
0.7595,9016
0.7605,8900
0.7615,8825
0.7625,9011
0.7635,14857
0.7645,8867
0.7655,8927
0.7665,8828
0.7675,9081
0.7685,8958
0.7695,9010
0.7705,9104
0.7715,9041
0.7725,8920
0.7735,8834
0.7745,9047
0.7755,9246
0.7765,9169
0.7775,9018
0.7785,9035
0.7795,8970
0.7805,9140
0.7815,9190
0.7825,9164
0.7835,9209
0.7845,9049
0.7855,9102
0.7865,9175
0.7875,9131
0.7885,9263
0.7895,9283
0.7905,9408
0.7915,9162
0.7925,9382
0.7935,9222
0.7945,9268
0.7955,9112
0.7965,9217
0.7975,9436
0.7985,9296
0.7995,9234
0.8005,9380
0.8015,9317
0.8025,9469
0.8035,9384
0.8045,9322
0.8055,9520
0.8065,9427
0.8075,9501
0.8085,9403
0.8095,9411
0.8105,9360
0.8115,9383
0.8125,9505
0.8135,9522
0.8145,9555
0.8155,9434
0.8165,9421
0.8175,9503
0.8185,9820
0.8195,9605
0.8205,9348
0.8215,9704
0.8225,9729
0.8235,9593
0.8245,9614
0.8255,9538
0.8265,9596
0.8275,9596
0.8285,9695
0.8295,9780
0.8305,9652
0.8315,9708
0.8325,9810
