BinCenter,Count
0.0005,10718
0.0015,10569
0.0025,10805
0.0035,10677
0.0045,10587
0.0055,10603
0.0065,10555
0.0075,10729
0.0085,10691
0.0095,11017
0.0105,10787
0.0115,10591
0.0125,10598
0.0135,10442
0.0145,10555
0.0155,10498
0.0165,10609
0.0175,10549
0.0185,10465
0.0195,10528
0.0205,10467
0.0215,10391
0.0225,10387
0.0235,10447
0.0245,10393
0.0255,10357
0.0265,10466
0.0275,10340
0.0285,10260
0.0295,10474
0.0305,10452
0.0315,10432
0.0325,10283
0.0335,10271
0.0345,10199
0.0355,10327
0.0365,10392
0.0375,10232
0.0385,10189
0.0395,10224
0.0405,10261
0.0415,10282
0.0425,10108
0.0435,10070
0.0445,10132
0.0455,10411
0.0465,10266
0.0475,10311
0.0485,10313
0.0495,10491
0.0505,10230
0.0515,10325
0.0525,10259
0.0535,10221
0.0545,10367
0.0555,10303
0.0565,10356
0.0575,10399
0.0585,27179
0.0595,41672
0.0605,9998
0.0615,10162
0.0625,10035
0.0635,10107
0.0645,10236
0.0655,10568
0.0665,10252
0.0675,24524
0.0685,10275
0.0695,14476
0.0705,10094
0.0715,9892
0.0725,9955
0.0735,9659
0.0745,9788
0.0755,9832
0.0765,9761
0.0775,9772
0.0785,9809
0.0795,9705
0.0805,9666
0.0815,9854
0.0825,9781
0.0835,9759
0.0845,9754
0.0855,9937
0.0865,9943
0.0875,9921
0.0885,9862
0.0895,9927
0.0905,9951
0.0915,9954
0.0925,10031
0.0935,9940
0.0945,10024
0.0955,10074
0.0965,9870
0.0975,9921
0.0985,9904
0.0995,9677
0.1005,9890
0.1015,9819
0.1025,9712
0.1035,9742
0.1045,9686
0.1055,9596
0.1065,9729
0.1075,9653
0.1085,9685
0.1095,9835
0.1105,9626
0.1115,9648
0.1125,9832
0.1135,9559
0.1145,9635
0.1155,9674
0.1165,9585
0.1175,9625
0.1185,9594
0.1195,9515
0.1205,9524
0.1215,9531
0.1225,9538
0.1235,9808
0.1245,9514
0.1255,9535
0.1265,9507
0.1275,9465
0.1285,9633
0.1295,9501
0.1305,9364
0.1315,9421
0.1325,9399
0.1335,9458
0.1345,9420
0.1355,9489
0.1365,9501
0.1375,9401
0.1385,9395
0.1395,9217
0.1405,9496
0.1415,9384
0.1425,9285
0.1435,9309
0.1445,9443
0.1455,9260
0.1465,9350
0.1475,9413
0.1485,9408
0.1495,9357
0.1505,9193
0.1515,9352
0.1525,9274
0.1535,9271
0.1545,9247
0.1555,9240
0.1565,9376
0.1575,9275
0.1585,9451
0.1595,9364
0.1605,9353
0.1615,9344
0.1625,9223
0.1635,9395
0.1645,9370
0.1655,9196
0.1665,9417
0.1675,9278
0.1685,9438
0.1695,9253
0.1705,9292
0.1715,9270
0.1725,9214
0.1735,9298
0.1745,9428
0.1755,9310
0.1765,9376
0.1775,9334
0.1785,9294
0.1795,9591
0.1805,9360
0.1815,9193
0.1825,9303
0.1835,9328
0.1845,9427
0.1855,9388
0.1865,9414
0.1875,9337
0.1885,9451
0.1895,9288
0.1905,9401
0.1915,9415
0.1925,9307
0.1935,9506
0.1945,9498
0.1955,9641
0.1965,9439
0.1975,9543
0.1985,9330
0.1995,9420
0.2005,9547
0.2015,9488
0.2025,9414
0.2035,9473
0.2045,9456
0.2055,9623
0.2065,9600
0.2075,9567
0.2085,9670
0.2095,9633
0.2105,9668
0.2115,9683
0.2125,11143
0.2135,17611
0.2145,15684
0.2155,14485
0.2165,13860
0.2175,13294
0.2185,12794
0.2195,12620
0.2205,12274
0.2215,11957
0.2225,12154
0.2235,11850
0.2245,11791
0.2255,11757
0.2265,11524
0.2275,11359
0.2285,11262
0.2295,11496
0.2305,11157
0.2315,11329
0.2325,11254
0.2335,11196
0.2345,11050
0.2355,11070
0.2365,10917
0.2375,10813
0.2385,10877
0.2395,10883
0.2405,10711
0.2415,10519
0.2425,10604
0.2435,10529
0.2445,10647
0.2455,10548
0.2465,10378
0.2475,10186
0.2485,10368
0.2495,10544
0.2505,10348
0.2515,10136
0.2525,19859
0.2535,10456
0.2545,10103
0.2555,10173
0.2565,10089
0.2575,10084
0.2585,10071
0.2595,10216
0.2605,10042
0.2615,9816
0.2625,9897
0.2635,10057
0.2645,9919
0.2655,9905
0.2665,9891
0.2675,9705
0.2685,9696
0.2695,9742
0.2705,9623
0.2715,9422
0.2725,9598
0.2735,9576
0.2745,9445
0.2755,9592
0.2765,9570
0.2775,9525
0.2785,9507
0.2795,9602
0.2805,9499
0.2815,9434
0.2825,9459
0.2835,9344
0.2845,9331
0.2855,9321
0.2865,9281
0.2875,9210
0.2885,9103
0.2895,9321
0.2905,9368
0.2915,9296
0.2925,9198
0.2935,8976
0.2945,9169
0.2955,9272
0.2965,9047
0.2975,9060
0.2985,8987
0.2995,9215
0.3005,9175
0.3015,8943
0.3025,8981
0.3035,9016
0.3045,8973
0.3055,9087
0.3065,8947
0.3075,8960
0.3085,8949
0.3095,8901
0.3105,8961
0.3115,8920
0.3125,8922
0.3135,8852
0.3145,8849
0.3155,8845
0.3165,8770
0.3175,8908
0.3185,8899
0.3195,8754
0.3205,8904
0.3215,8581
0.3225,8727
0.3235,8837
0.3245,8677
0.3255,8829
0.3265,8628
0.3275,8721
0.3285,8667
0.3295,8492
0.3305,8657
0.3315,8622
0.3325,8779
0.3335,8702
0.3345,8701
0.3355,8675
0.3365,8628
0.3375,8748
0.3385,8740
0.3395,8568
0.3405,8569
0.3415,8633
0.3425,8555
0.3435,8574
0.3445,8639
0.3455,8644
0.3465,8506
0.3475,8469
0.3485,8489
0.3495,8330
0.3505,8431
0.3515,8388
0.3525,8521
0.3535,8331
0.3545,8654
0.3555,8641
0.3565,8530
0.3575,8390
0.3585,8594
0.3595,8378
0.3605,8537
0.3615,8533
0.3625,8448
0.3635,8344
0.3645,8473
0.3655,8389
0.3665,8376
0.3675,8394
0.3685,8340
0.3695,8421
0.3705,8481
0.3715,8502
0.3725,8422
0.3735,8338
0.3745,8416
0.3755,8337
0.3765,8292
0.3775,8370
0.3785,8439
0.3795,8246
0.3805,8148
0.3815,8347
0.3825,8339
0.3835,8317
0.3845,8252
0.3855,8368
0.3865,8203
0.3875,8245
0.3885,8158
0.3895,8345
0.3905,8262
0.3915,8394
0.3925,8273
0.3935,8250
0.3945,8292
0.3955,8137
0.3965,8412
0.3975,8367
0.3985,8129
0.3995,8304
0.4005,8295
0.4015,8153
0.4025,8145
0.4035,8151
0.4045,8277
0.4055,8100
0.4065,8291
0.4075,8312
0.4085,8144
0.4095,8108
0.4105,8188
0.4115,8291
0.4125,8252
0.4135,8402
0.4145,8198
0.4155,8270
0.4165,8210
0.4175,8243
0.4185,8190
0.4195,8144
0.4205,8084
0.4215,8265
0.4225,8257
0.4235,8198
0.4245,8407
0.4255,8110
0.4265,8145
0.4275,8184
0.4285,8152
0.4295,8124
0.4305,8039
0.4315,8079
0.4325,8094
0.4335,8087
0.4345,8116
0.4355,8199
0.4365,8239
0.4375,8154
0.4385,8110
0.4395,8104
0.4405,8190
0.4415,7989
0.4425,8168
0.4435,8041
0.4445,8368
0.4455,8076
0.4465,8114
0.4475,8199
0.4485,8135
0.4495,8067
0.4505,8010
0.4515,8050
0.4525,8104
0.4535,8031
0.4545,8077
0.4555,7975
0.4565,8043
0.4575,8041
0.4585,8172
0.4595,8126
0.4605,7936
0.4615,8147
0.4625,8116
0.4635,7906
0.4645,7955
0.4655,8008
0.4665,8040
0.4675,8052
0.4685,7990
0.4695,8113
0.4705,7975
0.4715,7892
0.4725,8053
0.4735,8058
0.4745,7957
0.4755,7973
0.4765,8106
0.4775,8129
0.4785,7960
0.4795,8064
0.4805,7910
0.4815,8043
0.4825,8205
0.4835,7981
0.4845,8136
0.4855,8129
0.4865,8046
0.4875,8307
0.4885,8011
0.4895,8010
0.4905,8111
0.4915,8090
0.4925,7904
0.4935,8062
0.4945,7958
0.4955,8021
0.4965,8025
0.4975,7799
0.4985,8001
0.4995,8015
0.5005,8139
0.5015,8044
0.5025,7985
0.5035,8117
0.5045,8006
0.5055,7965
0.5065,7986
0.5075,7990
0.5085,8163
0.5095,8021
0.5105,12026
0.5115,8146
0.5125,8109
0.5135,7973
0.5145,7994
0.5155,8107
0.5165,8123
0.5175,7845
0.5185,8045
0.5195,8111
0.5205,8153
0.5215,8037
0.5225,8179
0.5235,7903
0.5245,8138
0.5255,8188
0.5265,8089
0.5275,8138
0.5285,8115
0.5295,7951
0.5305,8174
0.5315,7986
0.5325,8023
0.5335,8013
0.5345,8039
0.5355,8146
0.5365,8057
0.5375,8065
0.5385,8010
0.5395,8156
0.5405,8176
0.5415,8050
0.5425,8067
0.5435,8104
0.5445,8133
0.5455,7971
0.5465,7975
0.5475,7947
0.5485,8006
0.5495,8050
0.5505,8086
0.5515,8035
0.5525,8084
0.5535,8082
0.5545,8084
0.5555,8082
0.5565,8051
0.5575,7996
0.5585,8209
0.5595,8184
0.5605,8106
0.5615,8054
0.5625,8135
0.5635,8054
0.5645,8043
0.5655,8132
0.5665,8067
0.5675,8113
0.5685,8241
0.5695,8318
0.5705,7989
0.5715,8048
0.5725,8149
0.5735,8087
0.5745,8112
0.5755,7967
0.5765,7890
0.5775,8190
0.5785,8362
0.5795,8152
0.5805,8200
0.5815,8144
0.5825,8115
0.5835,8153
0.5845,8146
0.5855,7986
0.5865,8147
0.5875,8334
0.5885,8057
0.5895,8115
0.5905,8074
0.5915,8128
0.5925,8100
0.5935,7963
0.5945,8097
0.5955,8186
0.5965,8188
0.5975,8080
0.5985,8186
0.5995,8100
0.6005,8132
0.6015,8100
0.6025,8114
0.6035,8132
0.6045,8088
0.6055,7989
0.6065,8194
0.6075,8255
0.6085,8148
0.6095,8144
0.6105,8137
0.6115,8252
0.6125,8172
0.6135,8177
0.6145,8150
0.6155,8076
0.6165,8280
0.6175,7913
0.6185,8216
0.6195,8166
0.6205,8188
0.6215,8142
0.6225,8267
0.6235,7990
0.6245,8091
0.6255,8199
0.6265,8178
0.6275,8194
0.6285,8008
0.6295,8254
0.6305,8088
0.6315,8179
0.6325,8121
0.6335,8195
0.6345,8199
0.6355,8249
0.6365,8197
0.6375,8155
0.6385,8172
0.6395,8042
0.6405,8296
0.6415,8209
0.6425,8128
0.6435,8238
0.6445,8015
0.6455,8174
0.6465,8237
0.6475,8244
0.6485,8283
0.6495,8271
0.6505,8264
0.6515,8170
0.6525,8290
0.6535,8301
0.6545,8250
0.6555,8239
0.6565,8235
0.6575,8348
0.6585,8282
0.6595,8284
0.6605,8383
0.6615,8113
0.6625,8143
0.6635,8412
0.6645,8354
0.6655,8295
0.6665,8193
0.6675,8226
0.6685,8343
0.6695,8414
0.6705,8427
0.6715,8298
0.6725,8360
0.6735,8291
0.6745,8447
0.6755,8307
0.6765,8276
0.6775,8297
0.6785,8447
0.6795,8332
0.6805,8350
0.6815,8220
0.6825,8422
0.6835,8419
0.6845,8409
0.6855,8435
0.6865,8495
0.6875,8390
0.6885,8483
0.6895,8475
0.6905,8411
0.6915,8253
0.6925,8429
0.6935,8410
0.6945,8403
0.6955,8429
0.6965,8408
0.6975,8436
0.6985,8448
0.6995,8287
0.7005,8509
0.7015,8362
0.7025,8425
0.7035,8401
0.7045,8457
0.7055,8576
0.7065,8516
0.7075,8506
0.7085,8465
0.7095,8405
0.7105,8695
0.7115,8301
0.7125,8505
0.7135,8522
0.7145,8618
0.7155,8707
0.7165,8569
0.7175,8551
0.7185,8520
0.7195,8594
0.7205,8524
0.7215,8620
0.7225,8532
0.7235,8736
0.7245,8547
0.7255,8667
0.7265,8652
0.7275,8649
0.7285,8635
0.7295,8620
0.7305,8615
0.7315,8535
0.7325,8582
0.7335,8774
0.7345,8854
0.7355,8742
0.7365,8947
0.7375,8828
0.7385,8716
0.7395,8762
0.7405,8748
0.7415,8702
0.7425,8672
0.7435,8794
0.7445,8750
0.7455,8803
0.7465,8761
0.7475,8881
0.7485,8836
0.7495,8907
0.7505,8844
0.7515,8800
0.7525,9012
0.7535,8878
0.7545,8882
0.7555,9035
0.7565,8989
0.7575,8831
0.7585,8788
0.7595,8831
0.7605,8992
0.7615,8827
0.7625,9084
0.7635,14819
0.7645,9140
0.7655,8800
0.7665,9152
0.7675,8915
0.7685,8967
0.7695,8924
0.7705,9054
0.7715,9081
0.7725,9086
0.7735,9092
0.7745,9121
0.7755,9006
0.7765,9053
0.7775,9031
0.7785,9223
0.7795,9105
0.7805,9216
0.7815,9212
0.7825,9220
0.7835,9073
0.7845,9271
0.7855,9182
0.7865,9153
0.7875,9205
0.7885,9181
0.7895,9109
0.7905,9229
0.7915,9217
0.7925,9293
0.7935,9152
0.7945,9151
0.7955,9313
0.7965,9365
0.7975,9384
0.7985,9389
0.7995,9463
0.8005,9339
0.8015,9400
0.8025,9385
0.8035,9464
0.8045,9216
0.8055,9367
0.8065,9570
0.8075,9615
0.8085,9756
0.8095,9529
0.8105,9563
0.8115,9353
0.8125,9390
0.8135,9413
0.8145,9531
0.8155,9435
0.8165,9472
0.8175,9610
0.8185,9509
0.8195,9580
0.8205,9618
0.8215,9484
0.8225,9675
0.8235,9620
0.8245,9643
0.8255,9640
0.8265,9566
0.8275,9689
0.8285,9781
0.8295,9445
0.8305,9811
0.8315,9629
0.8325,9723
0.8335,9821
0.8345,9916
0.8355,9857
0.8365,9748
0.8375,10028
0.8385,9768
0.8395,10016
0.8405,9893
0.8415,10130
0.8425,9825
0.8435,9974
0.8445,9992
0.8455,10190
0.8465,10020
0.8475,10085
0.8485,9910
0.8495,9983
0.8505,10138
0.8515,10012
0.8525,10023
0.8535,10073
0.8545,10160
0.8555,10223
0.8565,10022
0.8575,10101
0.8585,10327
0.8595,10163
0.8605,10176
0.8615,10102
0.8625,10315
0.8635,10158
0.8645,10264
0.8655,10315
0.8665,10331
0.8675,10403
0.8685,10519
0.8695,10527
0.8705,10362
0.8715,10488
0.8725,10429
0.8735,10549
0.8745,10442
0.8755,10430
0.8765,10670
0.8775,10457
0.8785,10623
0.8795,10827
0.8805,10612
0.8815,10689
0.8825,10603
0.8835,10771
0.8845,10574
0.8855,10788
0.8865,10474
0.8875,10758
0.8885,10632
0.8895,10900
0.8905,10759
0.8915,10694
0.8925,10710
0.8935,10863
0.8945,10745
0.8955,10800
0.8965,10870
0.8975,10756
0.8985,10964
0.8995,10949
0.9005,11206
0.9015,10979
0.9025,11116
0.9035,11115
0.9045,11095
0.9055,11059
0.9065,11094
0.9075,11203
0.9085,11133
0.9095,11207
0.9105,11164
0.9115,11226
0.9125,11196
0.9135,11339
0.9145,11221
0.9155,11414
0.9165,11267
0.9175,11330
0.9185,11308
0.9195,11439
0.9205,11601
0.9215,11584
0.9225,11697
0.9235,11364
0.9245,11625
0.9255,11579
0.9265,11828
0.9275,11590
0.9285,11779
0.9295,11667
0.9305,11829
0.9315,11643
0.9325,11602
0.9335,11867
0.9345,11788
0.9355,11985
0.9365,12094
0.9375,11967
0.9385,11906
0.9395,11830
0.9405,12258
0.9415,12217
0.9425,12106
0.9435,12170
0.9445,12161
0.9455,12277
0.9465,12262
0.9475,12289
0.9485,12037
0.9495,12301
0.9505,12329
0.9515,12372
0.9525,12456
0.9535,12516
0.9545,12546
0.9555,12543
0.9565,12587
0.9575,12534
0.9585,12607
0.9595,12688
0.9605,12630
0.9615,12733
0.9625,12954
0.9635,12803
0.9645,12958
0.9655,12930
0.9665,13151
0.9675,13088
0.9685,12960
0.9695,12970
0.9705,13207
0.9715,13061
0.9725,13189
0.9735,13184
0.9745,13338
0.9755,13325
0.9765,13326
0.9775,13604
0.9785,13400
0.9795,13594
0.9805,13491
0.9815,13643
0.9825,13586
0.9835,13740
0.9845,14017
0.9855,13923
0.9865,13839
0.9875,13756
0.9885,13995
0.9895,14247
0.9905,14185
0.9915,14188
0.9925,14197
0.9935,14298
0.9945,14458
0.9955,14557
0.9965,14473
0.9975,14795
0.9985,14560
0.9995,14743
1.0005,14788
1.0015,14795
1.0025,15009
1.0035,14969
1.0045,15275
1.0055,15114
1.0065,15279
1.0075,15465
1.0085,15524
1.0095,15439
1.0105,15544
1.0115,15510
1.0125,16011
1.0135,15894
1.0145,15955
1.0155,16058
1.0165,16221
1.0175,16305
1.0185,16488
1.0195,16802
1.0205,16587
1.0215,16800
1.0225,16720
1.0235,16791
1.0245,16823
1.0255,17052
1.0265,17436
1.0275,17436
1.0285,17935
1.0295,17831
1.0305,17918
1.0315,18226
1.0325,18053
1.0335,18540
1.0345,18545
1.0355,18915
1.0365,18950
1.0375,19101
1.0385,19244
1.0395,19436
1.0405,19917
1.0415,20040
1.0425,20239
1.0435,20363
