Energy Deposit (MeV), Count
0.0005, 6279
0.0015, 6201
0.0025, 6262
0.0035, 6177
0.0045, 6233
0.0055, 6194
0.0065, 6280
0.0075, 6293
0.0085, 6407
0.0095, 6453
0.0105, 6250
0.0115, 6407
0.0125, 6161
0.0135, 6283
0.0145, 6100
0.0155, 6099
0.0165, 6174
0.0175, 6112
0.0185, 6237
0.0195, 5995
0.0205, 6161
0.0215, 6008
0.0225, 5893
0.0235, 6005
0.0245, 6051
0.0255, 5990
0.0265, 6105
0.0275, 6085
0.0285, 6043
0.0295, 5855
0.0305, 5916
0.0315, 5896
0.0325, 5946
0.0335, 5885
0.0345, 5972
0.0355, 5851
0.0365, 5969
0.0375, 5702
0.0385, 5843
0.0395, 5754
0.0405, 5852
0.0415, 5853
0.0425, 5913
0.0435, 5740
0.0445, 5844
0.0455, 5665
0.0465, 5750
0.0475, 5747
0.0485, 5968
0.0495, 6159
0.0505, 5785
0.0515, 5933
0.0525, 5800
0.0535, 5865
0.0545, 5829
0.0555, 5874
0.0565, 6002
0.0575, 5834
0.0585, 20247
0.0595, 32291
0.0605, 5740
0.0615, 5749
0.0625, 5967
0.0635, 5687
0.0645, 5832
0.0655, 5845
0.0665, 5869
0.0675, 17296
0.0685, 5827
0.0695, 9008
0.0705, 5735
0.0715, 5569
0.0725, 5616
0.0735, 5619
0.0745, 5387
0.0755, 5572
0.0765, 5517
0.0775, 5513
0.0785, 5570
0.0795, 5518
0.0805, 5568
0.0815, 5510
0.0825, 5379
0.0835, 5558
0.0845, 5614
0.0855, 5472
0.0865, 5411
0.0875, 5333
0.0885, 5405
0.0895, 5376
0.0905, 5357
0.0915, 5501
0.0925, 5439
0.0935, 5352
0.0945, 5372
0.0955, 5514
0.0965, 5467
0.0975, 5288
0.0985, 5430
0.0995, 5379
0.1005, 5323
0.1015, 5358
0.1025, 5417
0.1035, 5262
0.1045, 5318
0.1055, 5379
0.1065, 5316
0.1075, 5240
0.1085, 5303
0.1095, 5228
0.1105, 5189
0.1115, 5362
0.1125, 5340
0.1135, 5172
0.1145, 5254
0.1155, 5215
0.1165, 5325
0.1175, 5335
0.1185, 5329
0.1195, 5214
0.1205, 5186
0.1215, 5252
0.1225, 4990
0.1235, 5224
0.1245, 5097
0.1255, 5164
0.1265, 5287
0.1275, 5212
0.1285, 5301
0.1295, 5031
0.1305, 5208
0.1315, 5290
0.1325, 5126
0.1335, 5129
0.1345, 5175
0.1355, 5118
0.1365, 5104
0.1375, 5229
0.1385, 5272
0.1395, 5116
0.1405, 5177
0.1415, 5151
0.1425, 5201
0.1435, 5198
0.1445, 5183
0.1455, 5067
0.1465, 5133
0.1475, 5112
0.1485, 5201
0.1495, 5190
0.1505, 5187
0.1515, 5160
0.1525, 5167
0.1535, 5099
0.1545, 5137
0.1555, 5135
0.1565, 5145
0.1575, 5130
0.1585, 5189
0.1595, 5166
0.1605, 4994
0.1615, 5187
0.1625, 5088
0.1635, 5123
0.1645, 5159
0.1655, 5024
0.1665, 4870
0.1675, 5115
0.1685, 5209
0.1695, 5181
0.1705, 5624
0.1715, 6098
0.1725, 6144
0.1735, 6167
0.1745, 6173
0.1755, 6157
0.1765, 6198
0.1775, 6078
0.1785, 5994
0.1795, 6027
0.1805, 6037
0.1815, 5889
0.1825, 5959
0.1835, 5969
0.1845, 5829
0.1855, 5828
0.1865, 5753
0.1875, 5689
0.1885, 5641
0.1895, 5799
0.1905, 5665
0.1915, 5571
0.1925, 5780
0.1935, 5571
0.1945, 5635
0.1955, 5670
0.1965, 5561
0.1975, 5601
0.1985, 5612
0.1995, 5572
0.2005, 5411
0.2015, 5433
0.2025, 5478
0.2035, 5558
0.2045, 5409
0.2055, 5379
0.2065, 5526
0.2075, 5560
0.2085, 5418
0.2095, 5351
0.2105, 5420
0.2115, 5356
0.2125, 5391
0.2135, 5517
0.2145, 5616
0.2155, 5791
0.2165, 5700
0.2175, 5780
0.2185, 5658
0.2195, 5646
0.2205, 5641
0.2215, 5597
0.2225, 5509
0.2235, 5638
0.2245, 5450
0.2255, 5508
0.2265, 5450
0.2275, 5522
0.2285, 5422
0.2295, 5393
0.2305, 5505
0.2315, 5526
0.2325, 5391
0.2335, 5512
0.2345, 5422
0.2355, 5487
0.2365, 5429
0.2375, 5341
0.2385, 5321
0.2395, 5419
0.2405, 5482
0.2415, 5375
0.2425, 5281
0.2435, 5387
0.2445, 5383
0.2455, 5379
0.2465, 5383
0.2475, 5400
0.2485, 5395
0.2495, 5419
0.2505, 5327
0.2515, 5359
0.2525, 6102
0.2535, 5450
0.2545, 5361
0.2555, 5237
0.2565, 5311
0.2575, 5388
0.2585, 5321
0.2595, 5308
0.2605, 5497
0.2615, 5318
0.2625, 5387
0.2635, 5228
0.2645, 5327
0.2655, 5549
0.2665, 5258
0.2675, 5317
0.2685, 5449
0.2695, 5387
0.2705, 5304
0.2715, 5280
0.2725, 5413
0.2735, 5472
0.2745, 5456
0.2755, 5419
0.2765, 5351
0.2775, 5448
0.2785, 5380
0.2795, 5445
0.2805, 5446
0.2815, 5504
0.2825, 5493
0.2835, 5537
0.2845, 5580
0.2855, 5398
0.2865, 5571
0.2875, 5618
0.2885, 5658
0.2895, 5569
0.2905, 5668
0.2915, 5656
0.2925, 5802
0.2935, 5668
0.2945, 5726
0.2955, 5771
0.2965, 5828
0.2975, 5874
0.2985, 5862
0.2995, 5792
0.3005, 5968
0.3015, 5917
0.3025, 5953
0.3035, 5930
0.3045, 6190
0.3055, 6321
0.3065, 6174
0.3075, 6134
0.3085, 6333
0.3095, 6203
0.3105, 6405
0.3115, 6526
0.3125, 6305
0.3135, 6628
0.3145, 6601
0.3155, 6750
0.3165, 6610
0.3175, 6792
0.3185, 6894
0.3195, 6901
0.3205, 7012
0.3215, 7140
0.3225, 7143
0.3235, 7327
0.3245, 7536
0.3255, 7546
0.3265, 7617
0.3275, 7591
0.3285, 7958
0.3295, 7935
0.3305, 8157
0.3315, 8317
0.3325, 8397
0.3335, 8571
0.3345, 8692
0.3355, 8922
0.3365, 9133
0.3375, 9207
0.3385, 9434
0.3395, 9440
0.3405, 7884
0.3415, 4165
0.3425, 3927
0.3435, 4008
0.3445, 3942
0.3455, 3973
0.3465, 3866
0.3475, 3899
0.3485, 3873
0.3495, 3690
0.3505, 3542
0.3515, 3627
0.3525, 3707
0.3535, 3531
0.3545, 3615
0.3555, 3557
0.3565, 3476
0.3575, 3518
0.3585, 3386
0.3595, 3431
0.3605, 3367
0.3615, 3322
0.3625, 3225
0.3635, 3282
0.3645, 3237
0.3655, 3200
0.3665, 3097
0.3675, 3129
0.3685, 3098
0.3695, 3068
0.3705, 3080
0.3715, 2961
0.3725, 2923
0.3735, 2890
0.3745, 2941
0.3755, 2765
0.3765, 2803
0.3775, 2890
0.3785, 2726
0.3795, 2760
0.3805, 2734
0.3815, 2688
0.3825, 2651
0.3835, 2701
0.3845, 2630
0.3855, 2590
0.3865, 2502
0.3875, 2570
0.3885, 2609
0.3895, 2469
0.3905, 2428
0.3915, 2437
0.3925, 2385
0.3935, 2298
0.3945, 2354
0.3955, 2343
0.3965, 2368
0.3975, 2266
0.3985, 2302
0.3995, 2122
0.4005, 2008
0.4015, 1979
0.4025, 1846
0.4035, 1864
0.4045, 1814
0.4055, 1808
0.4065, 1797
0.4075, 1742
0.4085, 1660
0.4095, 1691
0.4105, 1554
0.4115, 1521
0.4125, 1508
0.4135, 1468
0.4145, 1441
0.4155, 1390
0.4165, 1499
0.4175, 1485
0.4185, 1466
0.4195, 1460
0.4205, 1358
0.4215, 1405
0.4225, 1391
0.4235, 1349
0.4245, 1354
0.4255, 1340
0.4265, 1314
0.4275, 1404
0.4285, 1352
0.4295, 1323
0.4305, 1295
0.4315, 1285
0.4325, 1256
0.4335, 1264
0.4345, 1263
0.4355, 1246
0.4365, 1246
0.4375, 1244
0.4385, 1323
0.4395, 1309
0.4405, 1220
0.4415, 1163
0.4425, 1216
0.4435, 1223
0.4445, 1129
0.4455, 1167
0.4465, 1175
0.4475, 1182
0.4485, 1235
0.4495, 1166
0.4505, 1161
0.4515, 1176
0.4525, 1146
0.4535, 1126
0.4545, 1121
0.4555, 1163
0.4565, 1081
0.4575, 1113
0.4585, 1103
0.4595, 1134
0.4605, 1100
0.4615, 1090
0.4625, 1088
0.4635, 1144
0.4645, 1137
0.4655, 1138
0.4665, 1095
0.4675, 1092
0.4685, 1069
0.4695, 1064
0.4705, 1083
0.4715, 1175
0.4725, 1120
0.4735, 1152
0.4745, 1078
0.4755, 1077
0.4765, 1093
0.4775, 1169
0.4785, 1119
0.4795, 1158
0.4805, 1077
0.4815, 1137
0.4825, 1152
0.4835, 1083
0.4845, 1121
0.4855, 1107
0.4865, 1107
0.4875, 1118
0.4885, 1093
0.4895, 1059
0.4905, 1108
0.4915, 1123
0.4925, 1115
0.4935, 1081
0.4945, 1092
0.4955, 1087
0.4965, 1098
0.4975, 1110
0.4985, 1070
0.4995, 1000
0.5005, 1097
0.5015, 1240
0.5025, 1023
0.5035, 1017
0.5045, 982
0.5055, 1004
0.5065, 1022
0.5075, 1043
0.5085, 1016
0.5095, 1016
0.5105, 671720
0.5115, 983
0.5125, 980
0.5135, 948
0.5145, 1048
0.5155, 945
0.5165, 992
0.5175, 975
0.5185, 1067
0.5195, 943
0.5205, 1008
0.5215, 1038
0.5225, 954
0.5235, 965
0.5245, 1009
0.5255, 962
0.5265, 927
0.5275, 944
0.5285, 953
0.5295, 966
0.5305, 948
0.5315, 955
0.5325, 938
0.5335, 967
0.5345, 929
0.5355, 996
0.5365, 968
0.5375, 945
0.5385, 927
0.5395, 908
0.5405, 980
0.5415, 922
0.5425, 935
0.5435, 956
0.5445, 935
0.5455, 907
0.5465, 968
0.5475, 918
0.5485, 933
0.5495, 912
0.5505, 931
0.5515, 890
0.5525, 909
0.5535, 880
0.5545, 873
0.5555, 929
0.5565, 891
0.5575, 939
0.5585, 897
0.5595, 924
0.5605, 953
0.5615, 894
0.5625, 929
0.5635, 919
0.5645, 880
0.5655, 880
0.5665, 878
0.5675, 938
0.5685, 924
0.5695, 1573
0.5705, 2138
0.5715, 857
0.5725, 928
0.5735, 844
0.5745, 941
0.5755, 938
0.5765, 892
0.5775, 957
0.5785, 1422
0.5795, 861
0.5805, 1069
0.5815, 865
0.5825, 891
0.5835, 835
0.5845, 890
0.5855, 877
0.5865, 878
0.5875, 883
0.5885, 840
0.5895, 880
0.5905, 869
0.5915, 865
0.5925, 862
0.5935, 865
0.5945, 879
0.5955, 866
0.5965, 926
0.5975, 830
