BinCenter,Count
0.3985,23641
0.3995,22634
0.4005,21585
0.4015,21220
0.4025,20903
0.4035,20213
0.4045,19975
0.4055,19363
0.4065,18960
0.4075,18486
0.4085,17641
0.4095,17331
0.4105,16935
0.4115,16617
0.4125,16794
0.4135,16514
0.4145,16267
0.4155,16015
0.4165,16021
0.4175,15628
0.4185,15702
0.4195,15315
0.4205,15357
0.4215,15154
0.4225,14733
0.4235,14854
0.4245,14637
0.4255,14674
0.4265,14296
0.4275,14271
0.4285,14226
0.4295,14149
0.4305,13981
0.4315,13842
0.4325,13645
0.4335,13759
0.4345,13478
0.4355,13371
0.4365,13533
0.4375,13346
0.4385,13286
0.4395,13369
0.4405,12920
0.4415,13210
0.4425,12991
0.4435,13132
0.4445,12983
0.4455,12802
0.4465,12855
0.4475,12795
0.4485,12776
0.4495,12587
0.4505,12701
0.4515,12470
0.4525,12405
0.4535,12478
0.4545,12351
0.4555,12238
0.4565,11975
0.4575,12164
0.4585,12337
0.4595,12230
0.4605,12288
0.4615,12173
0.4625,12169
0.4635,11986
0.4645,12043
0.4655,11892
0.4665,11920
0.4675,11681
0.4685,11711
0.4695,11756
0.4705,11708
0.4715,11859
0.4725,11475
0.4735,11593
0.4745,11512
0.4755,11528
0.4765,11325
0.4775,11344
0.4785,11321
0.4795,11433
0.4805,11335
0.4815,11429
0.4825,11324
0.4835,11342
0.4845,11474
0.4855,11382
0.4865,11317
0.4875,11282
0.4885,11101
0.4895,11043
0.4905,11193
0.4915,10947
0.4925,10965
0.4935,11000
0.4945,11062
0.4955,10915
0.4965,11105
0.4975,10739
0.4985,10884
0.4995,10647
0.5005,10902
0.5015,12937
0.5025,10598
0.5035,10602
0.5045,10502
0.5055,10535
0.5065,10541
0.5075,10404
0.5085,10390
0.5095,10220
0.5105,7.02158e+06
0.5115,11713
0.5125,12232
0.5135,12225
0.5145,12390
0.5155,12198
0.5165,12243
0.5175,12551
0.5185,12496
0.5195,12589
0.5205,12546
0.5215,12758
0.5225,12659
0.5235,12464
0.5245,12606
0.5255,12773
0.5265,12503
0.5275,12521
0.5285,12522
0.5295,12296
0.5305,12290
0.5315,12268
0.5325,12033
0.5335,12049
0.5345,12172
0.5355,11984
0.5365,12146
0.5375,11999
0.5385,11922
0.5395,11779
0.5405,11694
0.5415,11884
0.5425,11693
0.5435,11857
0.5445,11865
0.5455,11582
0.5465,11753
0.5475,11501
0.5485,11671
0.5495,11669
0.5505,11550
0.5515,11530
0.5525,11619
0.5535,11430
0.5545,11442
0.5555,11496
0.5565,11117
0.5575,11598
0.5585,11315
0.5595,11358
0.5605,11490
0.5615,11477
0.5625,11457
0.5635,11236
0.5645,11277
0.5655,11317
0.5665,11235
0.5675,11362
0.5685,11340
0.5695,13784
0.5705,16107
0.5715,11313
0.5725,11405
0.5735,11409
0.5745,11208
0.5755,11626
0.5765,11358
0.5775,11268
0.5785,13301
0.5795,11098
0.5805,11937
0.5815,11262
0.5825,11075
0.5835,11047
0.5845,11046
0.5855,11163
0.5865,11020
0.5875,11011
0.5885,11095
0.5895,11029
0.5905,10972
0.5915,11012
0.5925,10873
0.5935,10849
0.5945,11026
0.5955,11205
0.5965,10913
0.5975,10927
0.5985,11088
0.5995,10854
0.6005,10857
0.6015,10883
0.6025,10930
0.6035,10928
0.6045,10955
0.6055,10818
0.6065,10782
0.6075,10885
0.6085,10772
0.6095,10863
0.6105,10931
0.6115,11020
0.6125,10856
0.6135,10890
0.6145,10679
0.6155,10791
0.6165,10632
0.6175,10786
0.6185,10861
0.6195,10809
0.6205,10747
0.6215,10659
0.6225,10924
0.6235,10847
0.6245,10739
0.6255,10659
0.6265,10667
0.6275,10611
0.6285,10805
0.6295,10797
0.6305,10642
0.6315,10813
0.6325,10872
0.6335,10659
0.6345,10806
0.6355,10688
0.6365,10656
0.6375,10726
0.6385,10692
0.6395,10667
0.6405,10706
0.6415,10827
0.6425,10741
0.6435,10755
0.6445,10736
0.6455,10773
0.6465,10539
0.6475,10752
0.6485,10647
0.6495,10573
0.6505,10597
0.6515,10729
0.6525,10680
0.6535,10773
0.6545,10864
0.6555,10963
0.6565,10602
0.6575,10770
0.6585,10867
0.6595,10838
0.6605,10704
0.6615,10636
0.6625,10791
0.6635,10845
0.6645,10969
0.6655,10706
0.6665,10735
0.6675,10837
0.6685,10786
0.6695,10552
0.6705,10857
0.6715,10832
0.6725,10943
0.6735,10850
0.6745,10844
0.6755,10868
0.6765,10984
0.6775,11041
0.6785,10991
0.6795,11024
0.6805,10917
0.6815,15594
0.6825,16021
0.6835,14367
0.6845,13631
0.6855,12753
0.6865,12500
0.6875,12013
0.6885,12016
0.6895,11820
0.6905,11426
0.6915,11409
0.6925,11346
0.6935,11386
0.6945,11235
0.6955,11110
0.6965,11128
0.6975,10960
0.6985,10942
0.6995,10939
0.7005,11003
0.7015,11167
0.7025,10943
0.7035,10748
0.7045,10886
0.7055,10900
0.7065,10941
0.7075,10554
0.7085,10661
0.7095,10516
0.7105,10709
0.7115,10746
0.7125,10677
0.7135,10360
0.7145,10621
0.7155,10462
0.7165,10526
0.7175,10665
0.7185,10575
0.7195,10593
0.7205,10363
0.7215,10427
0.7225,10469
0.7235,10618
0.7245,10987
0.7255,11035
0.7265,10876
0.7275,10650
0.7285,10738
0.7295,10808
0.7305,10726
0.7315,10559
0.7325,10577
0.7335,10532
0.7345,10495
0.7355,10569
0.7365,10588
0.7375,10641
0.7385,10457
0.7395,10578
0.7405,10524
0.7415,10474
0.7425,10333
0.7435,10364
0.7445,10355
0.7455,10591
0.7465,10212
0.7475,10539
0.7485,10398
0.7495,10406
0.7505,10338
0.7515,10208
0.7525,10172
0.7535,10353
0.7545,10321
0.7555,10324
0.7565,10197
0.7575,10341
0.7585,10337
0.7595,10344
0.7605,10438
0.7615,10227
0.7625,10140
0.7635,14695
0.7645,10154
0.7655,10265
0.7665,10191
0.7675,10134
0.7685,10230
0.7695,10196
0.7705,10232
0.7715,10231
0.7725,10084
0.7735,10147
0.7745,10191
0.7755,10187
0.7765,10126
0.7775,10160
0.7785,10129
0.7795,10330
0.7805,10014
0.7815,9912
0.7825,10141
0.7835,10367
0.7845,10056
0.7855,10137
0.7865,10125
0.7875,10069
0.7885,10226
0.7895,10127
0.7905,10069
0.7915,10211
0.7925,9926
0.7935,10058
0.7945,10358
0.7955,10107
0.7965,10042
0.7975,10057
0.7985,10035
0.7995,10026
0.8005,9993
0.8015,10061
0.8025,9867
0.8035,10156
0.8045,10070
0.8055,10161
0.8065,10070
0.8075,10138
0.8085,9947
0.8095,9994
0.8105,9957
0.8115,10031
0.8125,10057
0.8135,9865
0.8145,9888
0.8155,9904
0.8165,9978
0.8175,9888
0.8185,9967
0.8195,9866
0.8205,10019
0.8215,9986
0.8225,9983
0.8235,9952
0.8245,10160
0.8255,9847
0.8265,10006
0.8275,9947
0.8285,9946
0.8295,9940
0.8305,9945
0.8315,9908
0.8325,10117
0.8335,9975
0.8345,10088
0.8355,9991
0.8365,10136
0.8375,9872
0.8385,9794
0.8395,9925
0.8405,10088
0.8415,9932
0.8425,9968
0.8435,9984
0.8445,10043
0.8455,9881
0.8465,9987
0.8475,10225
0.8485,9949
0.8495,9949
0.8505,10226
0.8515,9970
0.8525,10039
0.8535,9981
0.8545,9872
0.8555,10017
0.8565,10022
0.8575,10120
0.8585,10129
0.8595,9879
0.8605,10052
0.8615,10030
0.8625,10027
0.8635,10295
0.8645,10027
0.8655,9915
0.8665,9993
0.8675,9911
0.8685,10220
0.8695,10300
0.8705,9963
0.8715,10056
0.8725,10260
0.8735,10157
0.8745,10092
0.8755,10320
0.8765,10240
0.8775,10023
0.8785,10131
0.8795,10173
0.8805,10276
0.8815,10196
0.8825,10256
0.8835,10069
0.8845,10200
0.8855,10155
0.8865,10254
0.8875,10144
0.8885,10191
0.8895,10284
0.8905,10114
0.8915,10166
0.8925,10341
0.8935,10260
0.8945,10495
0.8955,10339
0.8965,10434
0.8975,10376
0.8985,10196
0.8995,10182
0.9005,10403
0.9015,10353
0.9025,10458
0.9035,10404
0.9045,10469
0.9055,10326
0.9065,10433
0.9075,10471
0.9085,10427
0.9095,10642
0.9105,10619
0.9115,10380
0.9125,10592
0.9135,10683
0.9145,10587
0.9155,10596
0.9165,10556
0.9175,10634
0.9185,10667
0.9195,10566
0.9205,10563
0.9215,10664
0.9225,10671
0.9235,10805
0.9245,10753
0.9255,10814
0.9265,10690
0.9275,10502
0.9285,10772
0.9295,10797
0.9305,10895
0.9315,10802
0.9325,10760
0.9335,11055
0.9345,10974
