BinCenter,Count
0.0005,64681
0.0015,67939
0.0025,69773
0.0035,71024
0.0045,71107
0.0055,71503
0.0065,71656
0.0075,72099
0.0085,73421
0.0095,74990
0.0105,73291
0.0115,72310
0.0125,71853
0.0135,72209
0.0145,71887
0.0155,70920
0.0165,71334
0.0175,70772
0.0185,70601
0.0195,70149
0.0205,69967
0.0215,69531
0.0225,69116
0.0235,68872
0.0245,68556
0.0255,68823
0.0265,68052
0.0275,67910
0.0285,67425
0.0295,67243
0.0305,66933
0.0315,66487
0.0325,67077
0.0335,66397
0.0345,66241
0.0355,66237
0.0365,65767
0.0375,65800
0.0385,65394
0.0395,65132
0.0405,65434
0.0415,65161
0.0425,64771
0.0435,64810
0.0445,64714
0.0455,64555
0.0465,64275
0.0475,64387
0.0485,64741
0.0495,65742
0.0505,64436
0.0515,63880
0.0525,63652
0.0535,63679
0.0545,63502
0.0555,64038
0.0565,63877
0.0575,64283
0.0585,167320
0.0595,253845
0.0605,63276
0.0615,62705
0.0625,63089
0.0635,63045
0.0645,63038
0.0655,63107
0.0665,62922
0.0675,144497
0.0685,62802
0.0695,86405
0.0705,61422
0.0715,61715
0.0725,61665
0.0735,61521
0.0745,61632
0.0755,61237
0.0765,60682
0.0775,60728
0.0785,60903
0.0795,60567
0.0805,60786
0.0815,60254
0.0825,60159
0.0835,60358
0.0845,60232
0.0855,60027
0.0865,60028
0.0875,59930
0.0885,59541
0.0895,60342
0.0905,59889
0.0915,60025
0.0925,59678
0.0935,59223
0.0945,59560
0.0955,59268
0.0965,59495
0.0975,59021
0.0985,58603
0.0995,58956
0.1005,59029
0.1015,58695
0.1025,58836
0.1035,58565
0.1045,58756
0.1055,58912
0.1065,58471
0.1075,57717
0.1085,58400
0.1095,58386
0.1105,58344
0.1115,57720
0.1125,58088
0.1135,58049
0.1145,57722
0.1155,58156
0.1165,58218
0.1175,58377
0.1185,58428
0.1195,57555
0.1205,57423
0.1215,57661
0.1225,57268
0.1235,57398
0.1245,57069
0.1255,57373
0.1265,57583
0.1275,56948
0.1285,56851
0.1295,56737
0.1305,56865
0.1315,56596
0.1325,56738
0.1335,56730
0.1345,56361
0.1355,56622
0.1365,56598
0.1375,56586
0.1385,56880
0.1395,56362
0.1405,56658
0.1415,56357
0.1425,55924
0.1435,55584
0.1445,56060
0.1455,56138
0.1465,56016
0.1475,56542
0.1485,55683
0.1495,56022
0.1505,56090
0.1515,55917
0.1525,56007
0.1535,55804
0.1545,55467
0.1555,55768
0.1565,55865
0.1575,55788
0.1585,55618
0.1595,55812
0.1605,55660
0.1615,55795
0.1625,55711
0.1635,55772
0.1645,56012
0.1655,55580
0.1665,55015
0.1675,55610
0.1685,55665
0.1695,56149
0.1705,67068
0.1715,67249
0.1725,63562
0.1735,62758
0.1745,61233
0.1755,60573
0.1765,60936
0.1775,61151
0.1785,60807
0.1795,60553
0.1805,61010
0.1815,60815
0.1825,60874
0.1835,60561
0.1845,60787
0.1855,60333
0.1865,60523
0.1875,60473
0.1885,60297
0.1895,60534
0.1905,60295
0.1915,59900
0.1925,59854
0.1935,59848
0.1945,60013
0.1955,59360
0.1965,59669
0.1975,59760
0.1985,59459
0.1995,59271
0.2005,59103
0.2015,59099
0.2025,59258
0.2035,59155
0.2045,59106
0.2055,58484
0.2065,58746
0.2075,58416
0.2085,58822
0.2095,58361
0.2105,58614
0.2115,58418
0.2125,59258
0.2135,63599
0.2145,62313
0.2155,61464
0.2165,61129
0.2175,60221
0.2185,60768
0.2195,59791
0.2205,59610
0.2215,59424
0.2225,59633
0.2235,58708
0.2245,58765
0.2255,58946
0.2265,58820
