BinCenter,Count
0.0005,63642
0.0015,63958
0.0025,64304
0.0035,64411
0.0045,64588
0.0055,64394
0.0065,64110
0.0075,64465
0.0085,65234
0.0095,65988
0.0105,64019
0.0115,63679
0.0125,63166
0.0135,63587
0.0145,63216
0.0155,62805
0.0165,63367
0.0175,63359
0.0185,63357
0.0195,63416
0.0205,63589
0.0215,63130
0.0225,63031
0.0235,63011
0.0245,63035
0.0255,63228
0.0265,62635
0.0275,62774
0.0285,62271
0.0295,61864
0.0305,61956
0.0315,61531
0.0325,62109
0.0335,61613
0.0345,61737
0.0355,61090
0.0365,60877
0.0375,61274
0.0385,60525
0.0395,60872
0.0405,60944
0.0415,61001
0.0425,60212
0.0435,60638
0.0445,60805
0.0455,60349
0.0465,60234
0.0475,60479
0.0485,60061
0.0495,60768
0.0505,60382
0.0515,59986
0.0525,59436
0.0535,59522
0.0545,59304
0.0555,59858
0.0565,59490
0.0575,59529
0.0585,121030
0.0595,171934
0.0605,59707
0.0615,58560
0.0625,59046
0.0635,59127
0.0645,58775
0.0655,58654
0.0665,58763
0.0675,103691
0.0685,58517
0.0695,71043
0.0705,57751
0.0715,57999
0.0725,57655
0.0735,58364
0.0745,57617
0.0755,57442
0.0765,56845
0.0775,57192
0.0785,56815
0.0795,56818
0.0805,56857
0.0815,56657
0.0825,56146
0.0835,56266
0.0845,56287
0.0855,55980
0.0865,56273
0.0875,56060
0.0885,55891
0.0895,56529
0.0905,56004
0.0915,56014
0.0925,55735
0.0935,55317
0.0945,55839
0.0955,55326
0.0965,55409
0.0975,55255
0.0985,54550
0.0995,54990
0.1005,54949
0.1015,55072
0.1025,54992
0.1035,54602
0.1045,54900
0.1055,54704
0.1065,54487
0.1075,53881
0.1085,54804
0.1095,54256
0.1105,54329
0.1115,53928
0.1125,54308
0.1135,54254
0.1145,53942
0.1155,54508
0.1165,54267
0.1175,54126
0.1185,54270
0.1195,53589
0.1205,53445
0.1215,53610
0.1225,53606
0.1235,53561
0.1245,53171
0.1255,53158
0.1265,53548
0.1275,53117
0.1285,53204
0.1295,52913
0.1305,53379
0.1315,53276
0.1325,53188
0.1335,52940
0.1345,52811
0.1355,53031
0.1365,53315
0.1375,52650
0.1385,53027
0.1395,52907
0.1405,53064
0.1415,52858
0.1425,52463
0.1435,52534
0.1445,52422
0.1455,52714
0.1465,52814
0.1475,53340
0.1485,52387
0.1495,52885
0.1505,52675
0.1515,52461
0.1525,52614
0.1535,52857
0.1545,52086
0.1555,52506
0.1565,52821
0.1575,52790
0.1585,52865
0.1595,52769
0.1605,52549
0.1615,52972
0.1625,52730
0.1635,52674
0.1645,53003
0.1655,52906
0.1665,52605
0.1675,52910
0.1685,53129
0.1695,53462
0.1705,65681
0.1715,68860
0.1725,66752
0.1735,65911
0.1745,64349
0.1755,63292
0.1765,63095
0.1775,62956
0.1785,62315
0.1795,61742
0.1805,61505
0.1815,60671
0.1825,60625
0.1835,60029
0.1845,59905
0.1855,59223
0.1865,59598
0.1875,58894
0.1885,58472
0.1895,58700
0.1905,57983
0.1915,58091
0.1925,57941
0.1935,57254
0.1945,57482
0.1955,57018
0.1965,56869
0.1975,56659
0.1985,56320
0.1995,56293
0.2005,55842
0.2015,55790
0.2025,55884
0.2035,55718
0.2045,55369
0.2055,54920
0.2065,54949
0.2075,54896
0.2085,55094
0.2095,54404
0.2105,54681
0.2115,54420
0.2125,55180
0.2135,60167
0.2145,59176
0.2155,58672
0.2165,58156
0.2175,57699
0.2185,57996
0.2195,57431
0.2205,56912
0.2215,56845
0.2225,56607
0.2235,55757
0.2245,55933
0.2255,55795
0.2265,55542
0.2275,56065
0.2285,55375
0.2295,54974
0.2305,55804
0.2315,55093
0.2325,54924
0.2335,54747
0.2345,54839
0.2355,54916
0.2365,54874
0.2375,54325
0.2385,54348
0.2395,54300
0.2405,54649
0.2415,54272
0.2425,54412
0.2435,54462
0.2445,54037
0.2455,53913
0.2465,53965
0.2475,53928
0.2485,54137
0.2495,53924
0.2505,53996
0.2515,54186
0.2525,60659
0.2535,53891
0.2545,54348
0.2555,53813
0.2565,54225
0.2575,53800
0.2585,54341
0.2595,53731
0.2605,54431
0.2615,54187
0.2625,54099
0.2635,54030
0.2645,54632
0.2655,54095
0.2665,54222
0.2675,54265
0.2685,54490
0.2695,54703
0.2705,54655
0.2715,54736
0.2725,55268
0.2735,55137
0.2745,55339
0.2755,55431
0.2765,55541
0.2775,55741
0.2785,55169
0.2795,55658
0.2805,56035
0.2815,55906
0.2825,55981
0.2835,56141
0.2845,56703
0.2855,56849
0.2865,57017
0.2875,57060
0.2885,57436
0.2895,57280
0.2905,58128
0.2915,58298
0.2925,58311
0.2935,59032
0.2945,59017
0.2955,58901
0.2965,59188
0.2975,60147
0.2985,60022
0.2995,60254
0.3005,61288
0.3015,61335
0.3025,61752
0.3035,62440
0.3045,62458
0.3055,63679
0.3065,63732
0.3075,64123
0.3085,64833
0.3095,65403
0.3105,65748
0.3115,66379
0.3125,67363
0.3135,67689
0.3145,68791
0.3155,69236
0.3165,69906
0.3175,70977
0.3185,71729
0.3195,72688
0.3205,74242
0.3215,74066
0.3225,75536
0.3235,76154
0.3245,77706
0.3255,79362
0.3265,79899
0.3275,80894
0.3285,82806
0.3295,84149
0.3305,85439
0.3315,87196
0.3325,88288
0.3335,89812
0.3345,92046
0.3355,93658
0.3365,96487
0.3375,98293
0.3385,101073
0.3395,103806
0.3405,84647
0.3415,42231
0.3425,41603
0.3435,40989
0.3445,40459
0.3455,40627
0.3465,39970
0.3475,39246
0.3485,38627
0.3495,38170
0.3505,38244
0.3515,37716
0.3525,37047
0.3535,36473
0.3545,36178
0.3555,35980
0.3565,35181
0.3575,35070
0.3585,34266
0.3595,34131
0.3605,33472
0.3615,33296
0.3625,32887
0.3635,32491
0.3645,32289
