BinCenter,Count
0.2975,59892
0.2985,60062
0.2995,60582
0.3005,61228
0.3015,61633
0.3025,61990
0.3035,62012
0.3045,61922
0.3055,63457
0.3065,64185
0.3075,64616
0.3085,64840
0.3095,65450
0.3105,66011
0.3115,66818
0.3125,66925
0.3135,68213
0.3145,68346
0.3155,69275
0.3165,69843
0.3175,71600
0.3185,71613
0.3195,72826
0.3205,73874
0.3215,74654
0.3225,75421
0.3235,76286
0.3245,77804
0.3255,78457
0.3265,80079
0.3275,81651
0.3285,83140
0.3295,84325
0.3305,85038
0.3315,87078
0.3325,88681
0.3335,90048
0.3345,91984
0.3355,94345
0.3365,96430
0.3375,98662
0.3385,100889
0.3395,103357
0.3405,85164
0.3415,42432
0.3425,41888
0.3435,41000
0.3445,40910
0.3455,40228
0.3465,39722
0.3475,39064
0.3485,38823
0.3495,38339
0.3505,37537
0.3515,37163
0.3525,36958
0.3535,36574
0.3545,36290
0.3555,35738
0.3565,35280
0.3575,35062
0.3585,34558
0.3595,34392
0.3605,34072
0.3615,33334
0.3625,32938
0.3635,32862
0.3645,32044
0.3655,31722
0.3665,31399
0.3675,30777
0.3685,30847
0.3695,30483
0.3705,30484
0.3715,29855
0.3725,29421
0.3735,28983
0.3745,28918
0.3755,28282
0.3765,28382
0.3775,27890
0.3785,27400
0.3795,27197
0.3805,26886
0.3815,26648
0.3825,26277
0.3835,26339
0.3845,26038
0.3855,25844
0.3865,25227
0.3875,24893
0.3885,24693
0.3895,23982
0.3905,24089
0.3915,24016
0.3925,23901
0.3935,23239
0.3945,23038
0.3955,22743
0.3965,22088
0.3975,21503
0.3985,20980
0.3995,20089
0.4005,18998
0.4015,18553
0.4025,18051
0.4035,17373
0.4045,17177
0.4055,16686
0.4065,16249
0.4075,15776
0.4085,14959
0.4095,14787
0.4105,14467
0.4115,14150
0.4125,14095
0.4135,13941
0.4145,13626
0.4155,13269
0.4165,13421
0.4175,13101
0.4185,13176
0.4195,12967
0.4205,12922
0.4215,12693
0.4225,12456
0.4235,12363
0.4245,12252
0.4255,12161
0.4265,12156
0.4275,12123
0.4285,12225
0.4295,11970
0.4305,11915
0.4315,11746
0.4325,11659
0.4335,11599
0.4345,11646
0.4355,11602
0.4365,11664
0.4375,11530
0.4385,11538
0.4395,11631
0.4405,11061
0.4415,11153
0.4425,10878
0.4435,11126
0.4445,10996
0.4455,10840
0.4465,10884
0.4475,10634
0.4485,10497
0.4495,10363
0.4505,10536
0.4515,10279
0.4525,10253
0.4535,10374
0.4545,10329
0.4555,10292
0.4565,10112
0.4575,10132
0.4585,10183
0.4595,10133
0.4605,10025
0.4615,10025
0.4625,9977
0.4635,10126
0.4645,9976
0.4655,9857
0.4665,9718
0.4675,9772
0.4685,10025
0.4695,9818
0.4705,9856
0.4715,10016
0.4725,9888
0.4735,9895
0.4745,9815
0.4755,9850
0.4765,9669
0.4775,9712
0.4785,9709
0.4795,9856
0.4805,9717
0.4815,9841
0.4825,9783
0.4835,9880
0.4845,9813
0.4855,9896
0.4865,9887
0.4875,9866
0.4885,9857
0.4895,9821
0.4905,9780
0.4915,9769
0.4925,9858
0.4935,9825
0.4945,9890
0.4955,9791
0.4965,10054
0.4975,9658
0.4985,9760
0.4995,9584
0.5005,9722
0.5015,11576
0.5025,9268
0.5035,9446
0.5045,9311
0.5055,9368
0.5065,9391
0.5075,9208
0.5085,9261
0.5095,8989
0.5105,7.28139e+06
0.5115,10400
0.5125,10234
0.5135,10030
0.5145,10132
0.5155,9996
0.5165,10037
0.5175,9981
0.5185,9963
0.5195,9860
0.5205,10093
0.5215,10053
0.5225,10012
0.5235,9914
0.5245,9872
0.5255,9830
0.5265,9756
0.5275,9861
0.5285,9914
0.5295,9740
0.5305,9752
0.5315,9608
0.5325,9644
0.5335,9575
0.5345,9656
0.5355,9695
0.5365,9707
0.5375,9559
0.5385,9722
0.5395,9711
0.5405,9456
0.5415,9697
0.5425,9379
0.5435,9438
0.5445,9642
0.5455,9380
0.5465,9537
0.5475,9194
0.5485,9371
0.5495,9309
0.5505,9344
0.5515,9212
0.5525,9452
0.5535,9209
0.5545,9389
0.5555,9239
0.5565,9049
0.5575,9303
0.5585,9243
0.5595,9442
0.5605,9263
0.5615,9362
0.5625,9316
0.5635,8998
0.5645,9217
0.5655,9181
0.5665,8964
0.5675,9136
0.5685,9159
0.5695,14139
0.5705,18417
0.5715,9217
0.5725,9032
0.5735,9156
0.5745,9255
0.5755,9224
0.5765,9165
0.5775,9086
0.5785,12910
0.5795,8957
0.5805,10279
0.5815,9230
0.5825,9031
0.5835,8882
0.5845,8972
0.5855,8932
0.5865,8953
0.5875,8825
0.5885,8845
0.5895,8834
0.5905,8708
0.5915,8804
0.5925,8615
0.5935,8844
0.5945,8799
0.5955,8740
0.5965,8649
0.5975,8724
0.5985,8701
0.5995,8588
0.6005,8701
0.6015,8574
0.6025,8563
0.6035,8588
0.6045,8634
0.6055,8546
0.6065,8538
0.6075,8655
0.6085,8594
0.6095,8658
0.6105,8526
0.6115,8593
0.6125,8457
0.6135,8582
0.6145,8597
0.6155,8729
0.6165,8505
0.6175,8367
0.6185,8504
0.6195,8471
0.6205,8501
0.6215,8560
0.6225,8694
0.6235,8630
0.6245,8417
0.6255,8491
0.6265,8359
0.6275,8607
0.6285,8539
0.6295,8659
0.6305,8440
0.6315,8522
0.6325,8625
0.6335,8382
0.6345,8716
0.6355,8604
0.6365,8639
0.6375,8611
0.6385,8565
0.6395,8655
0.6405,8626
0.6415,8816
0.6425,8620
0.6435,8667
0.6445,8747
0.6455,8638
0.6465,8619
0.6475,8788
0.6485,8615
0.6495,8616
0.6505,8652
0.6515,8718
0.6525,8779
0.6535,9021
0.6545,8863
0.6555,8938
0.6565,8697
0.6575,8808
0.6585,8910
0.6595,8912
0.6605,8982
0.6615,8837
0.6625,9048
0.6635,8977
0.6645,9052
0.6655,8887
0.6665,9032
0.6675,9137
0.6685,9058
0.6695,8966
0.6705,9254
0.6715,9243
0.6725,9204
0.6735,9225
0.6745,9116
0.6755,9258
0.6765,9463
0.6775,9529
0.6785,9499
0.6795,9431
0.6805,9450
0.6815,14362
0.6825,15658
0.6835,14653
0.6845,14050
0.6855,13489
0.6865,13222
0.6875,12559
0.6885,12507
0.6895,11923
0.6905,11572
0.6915,11480
0.6925,11282
0.6935,11089
0.6945,11086
0.6955,10745
0.6965,10917
0.6975,10451
0.6985,10344
0.6995,10317
0.7005,10343
0.7015,10220
0.7025,9992
0.7035,9776
0.7045,9890
0.7055,9750
0.7065,9891
0.7075,9490
0.7085,9513
0.7095,9390
0.7105,9423
0.7115,9557
0.7125,9354
0.7135,9100
0.7145,9328
0.7155,9177
0.7165,9083
0.7175,9254
0.7185,9175
0.7195,9186
0.7205,8993
0.7215,9020
0.7225,8942
0.7235,9113
0.7245,9609
0.7255,9474
0.7265,9590
0.7275,9409
0.7285,9215
0.7295,9434
0.7305,9355
0.7315,9288
0.7325,9294
0.7335,9234
0.7345,9141
0.7355,9238
0.7365,9257
0.7375,9123
0.7385,8976
0.7395,9124
0.7405,9165
0.7415,9163
0.7425,9049
0.7435,8903
0.7445,9030
0.7455,9169
0.7465,8808
0.7475,8926
0.7485,9068
0.7495,9082
0.7505,8898
0.7515,8980
0.7525,8932
0.7535,9060
0.7545,8980
0.7555,8972
0.7565,8871
0.7575,8892
0.7585,8778
0.7595,8770
0.7605,9041
0.7615,8928
0.7625,8827
0.7635,13684
0.7645,8922
0.7655,8863
0.7665,8832
0.7675,8792
0.7685,9033
0.7695,8984
0.7705,8969
0.7715,9009
0.7725,8905
0.7735,8814
0.7745,9057
0.7755,9067
0.7765,8946
0.7775,8726
0.7785,8944
0.7795,9072
0.7805,8913
0.7815,8833
0.7825,9045
0.7835,9036
0.7845,8911
0.7855,9013
0.7865,9031
0.7875,8957
0.7885,9019
0.7895,8964
0.7905,8896
0.7915,9066
0.7925,8783
0.7935,9038
0.7945,9198
0.7955,9063
0.7965,9047
0.7975,9159
0.7985,8927
0.7995,8847
0.8005,8993
0.8015,9026
0.8025,8867
0.8035,9167
0.8045,9173
0.8055,9084
0.8065,9048
0.8075,9183
0.8085,8816
0.8095,8981
0.8105,9135
0.8115,9188
0.8125,9166
0.8135,9013
0.8145,8894
0.8155,9107
0.8165,8975
0.8175,9069
0.8185,9207
0.8195,9044
0.8205,9263
0.8215,9136
0.8225,9116
0.8235,9309
0.8245,9305
0.8255,9129
0.8265,9271
0.8275,9333
0.8285,9098
0.8295,9286
0.8305,9288
0.8315,9267
0.8325,9369
0.8335,9178
0.8345,9464
0.8355,9271
0.8365,9441
0.8375,9203
0.8385,9269
0.8395,9288
0.8405,9298
0.8415,9319
0.8425,9399
0.8435,9401
0.8445,9389
0.8455,9387
0.8465,9429
