Energy Deposit (MeV), Count
0.0005, 6233
0.0015, 6239
0.0025, 6275
0.0035, 6230
0.0045, 6267
0.0055, 6133
0.0065, 6291
0.0075, 6247
0.0085, 6280
0.0095, 6532
0.0105, 6177
0.0115, 6292
0.0125, 6078
0.0135, 6158
0.0145, 6052
0.0155, 6109
0.0165, 6143
0.0175, 6050
0.0185, 6219
0.0195, 5907
0.0205, 6043
0.0215, 5925
0.0225, 5924
0.0235, 5957
0.0245, 5956
0.0255, 5955
0.0265, 5999
0.0275, 5950
0.0285, 5887
0.0295, 5830
0.0305, 5803
0.0315, 5892
0.0325, 5886
0.0335, 5841
0.0345, 6027
0.0355, 5693
0.0365, 5837
0.0375, 5660
0.0385, 5832
0.0395, 5736
0.0405, 5794
0.0415, 5816
0.0425, 5814
0.0435, 5584
0.0445, 5808
0.0455, 5687
0.0465, 5705
0.0475, 5700
0.0485, 5862
0.0495, 6154
0.0505, 5829
0.0515, 5891
0.0525, 5749
0.0535, 5778
0.0545, 5739
0.0555, 5813
0.0565, 5951
0.0575, 5815
0.0585, 20161
0.0595, 32171
0.0605, 5743
0.0615, 5668
0.0625, 5965
0.0635, 5701
0.0645, 5941
0.0655, 5785
0.0665, 5775
0.0675, 17274
0.0685, 5740
0.0695, 8980
0.0705, 5585
0.0715, 5538
0.0725, 5547
0.0735, 5649
0.0745, 5341
0.0755, 5438
0.0765, 5449
0.0775, 5505
0.0785, 5487
0.0795, 5473
0.0805, 5551
0.0815, 5421
0.0825, 5383
0.0835, 5465
0.0845, 5532
0.0855, 5503
0.0865, 5357
0.0875, 5256
0.0885, 5395
0.0895, 5383
0.0905, 5374
0.0915, 5498
0.0925, 5283
0.0935, 5238
0.0945, 5374
0.0955, 5427
0.0965, 5391
0.0975, 5240
0.0985, 5337
0.0995, 5253
0.1005, 5210
0.1015, 5360
0.1025, 5322
0.1035, 5175
0.1045, 5280
0.1055, 5392
0.1065, 5303
0.1075, 5211
0.1085, 5238
0.1095, 5199
0.1105, 5169
0.1115, 5354
0.1125, 5257
0.1135, 5154
0.1145, 5224
0.1155, 5233
0.1165, 5283
0.1175, 5347
0.1185, 5307
0.1195, 5154
0.1205, 5117
0.1215, 5210
0.1225, 4942
0.1235, 5238
0.1245, 5068
0.1255, 5127
0.1265, 5211
0.1275, 5203
0.1285, 5265
0.1295, 5021
0.1305, 5157
0.1315, 5173
0.1325, 5075
0.1335, 5140
0.1345, 5120
0.1355, 5053
0.1365, 5047
0.1375, 5148
0.1385, 5150
0.1395, 5052
0.1405, 5061
0.1415, 5143
0.1425, 5231
0.1435, 5225
0.1445, 5248
0.1455, 5029
0.1465, 5166
0.1475, 5163
0.1485, 5041
0.1495, 5186
0.1505, 5017
0.1515, 5187
0.1525, 5099
0.1535, 5127
0.1545, 5104
0.1555, 5045
0.1565, 5200
0.1575, 5097
0.1585, 5179
0.1595, 5112
0.1605, 4981
0.1615, 5146
0.1625, 5030
0.1635, 5137
0.1645, 4986
0.1655, 4982
0.1665, 4793
0.1675, 5052
0.1685, 5189
0.1695, 5107
0.1705, 5554
0.1715, 5964
0.1725, 6067
0.1735, 6113
0.1745, 6096
0.1755, 6123
0.1765, 6041
0.1775, 6064
0.1785, 5940
0.1795, 5973
0.1805, 5901
0.1815, 5756
0.1825, 5838
0.1835, 5785
0.1845, 5721
0.1855, 5723
0.1865, 5600
0.1875, 5528
0.1885, 5595
0.1895, 5624
0.1905, 5568
0.1915, 5480
0.1925, 5628
0.1935, 5615
0.1945, 5503
0.1955, 5610
0.1965, 5481
0.1975, 5424
0.1985, 5596
0.1995, 5452
0.2005, 5357
0.2015, 5304
0.2025, 5342
0.2035, 5441
0.2045, 5367
0.2055, 5345
0.2065, 5416
0.2075, 5483
0.2085, 5344
0.2095, 5233
0.2105, 5308
0.2115, 5185
0.2125, 5222
0.2135, 5474
0.2145, 5507
0.2155, 5651
0.2165, 5649
0.2175, 5687
0.2185, 5529
0.2195, 5477
0.2205, 5547
0.2215, 5500
0.2225, 5464
0.2235, 5503
0.2245, 5364
0.2255, 5384
0.2265, 5417
0.2275, 5427
0.2285, 5365
0.2295, 5387
0.2305, 5375
0.2315, 5437
0.2325, 5250
0.2335, 5383
0.2345, 5362
0.2355, 5535
0.2365, 5428
0.2375, 5360
0.2385, 5265
0.2395, 5324
0.2405, 5411
0.2415, 5216
0.2425, 5216
0.2435, 5369
0.2445, 5230
0.2455, 5227
0.2465, 5311
0.2475, 5368
0.2485, 5298
0.2495, 5369
0.2505, 5320
0.2515, 5277
0.2525, 6100
0.2535, 5298
0.2545, 5271
0.2555, 5216
0.2565, 5307
0.2575, 5247
0.2585, 5362
0.2595, 5284
0.2605, 5363
0.2615, 5175
0.2625, 5293
0.2635, 5253
0.2645, 5309
0.2655, 5459
0.2665, 5200
0.2675, 5212
0.2685, 5316
0.2695, 5318
0.2705, 5270
0.2715, 5275
0.2725, 5333
0.2735, 5258
0.2745, 5315
0.2755, 5278
0.2765, 5346
0.2775, 5286
0.2785, 5279
0.2795, 5340
0.2805, 5395
0.2815, 5446
0.2825, 5448
0.2835, 5452
0.2845, 5492
0.2855, 5378
0.2865, 5567
0.2875, 5571
0.2885, 5592
0.2895, 5439
0.2905, 5645
0.2915, 5587
0.2925, 5743
0.2935, 5620
0.2945, 5642
0.2955, 5809
0.2965, 5776
0.2975, 5823
0.2985, 5742
0.2995, 5845
0.3005, 5877
0.3015, 5893
0.3025, 5959
0.3035, 5837
0.3045, 6033
0.3055, 6242
0.3065, 6184
0.3075, 6021
0.3085, 6280
0.3095, 6269
0.3105, 6383
0.3115, 6557
0.3125, 6402
0.3135, 6568
0.3145, 6599
0.3155, 6730
0.3165, 6564
0.3175, 6741
0.3185, 6794
0.3195, 6807
0.3205, 7029
0.3215, 7074
0.3225, 7205
0.3235, 7285
0.3245, 7448
0.3255, 7535
0.3265, 7668
0.3275, 7652
0.3285, 7899
0.3295, 7881
0.3305, 8011
0.3315, 8297
0.3325, 8309
0.3335, 8531
0.3345, 8648
0.3355, 9025
0.3365, 9029
0.3375, 9283
0.3385, 9387
0.3395, 9534
0.3405, 7844
0.3415, 4090
0.3425, 3943
0.3435, 3955
0.3445, 3923
0.3455, 3934
0.3465, 3834
0.3475, 3728
0.3485, 3776
0.3495, 3628
0.3505, 3554
0.3515, 3678
0.3525, 3666
0.3535, 3481
0.3545, 3536
0.3555, 3518
0.3565, 3426
0.3575, 3478
0.3585, 3281
0.3595, 3385
0.3605, 3335
0.3615, 3336
0.3625, 3222
0.3635, 3187
0.3645, 3151
