Bin Center, Count
0.0005, 1.8508e+06
0.0015, 935
0.0025, 943
0.0035, 938
0.0045, 892
0.0055, 2073
0.0065, 3050
0.0075, 3187
0.0085, 3193
0.0095, 3104
0.0105, 3257
0.0115, 5514
0.0125, 5520
0.0135, 5661
0.0145, 5506
0.0155, 5705
0.0165, 6882
0.0175, 7938
0.0185, 8075
0.0195, 7933
0.0205, 8029
0.0215, 8335
0.0225, 9803
0.0235, 9929
0.0245, 9940
0.0255, 10036
0.0265, 10169
0.0275, 11242
0.0285, 11961
0.0295, 11933
0.0305, 11991
0.0315, 12150
0.0325, 12442
0.0335, 13724
0.0345, 13866
0.0355, 13857
0.0365, 13733
0.0375, 14010
0.0385, 15091
0.0395, 15707
0.0405, 15552
0.0415, 15868
0.0425, 15665
0.0435, 16241
0.0445, 16994
0.0455, 17174
0.0465, 17319
0.0475, 17558
0.0485, 17202
0.0495, 18564
0.0505, 18935
0.0515, 19001
0.0525, 18929
0.0535, 19099
0.0545, 19352
0.0555, 20240
0.0565, 20463
0.0575, 20536
0.0585, 20317
0.0595, 20212
0.0605, 21359
0.0615, 21846
0.0625, 21947
0.0635, 21589
0.0645, 21803
0.0655, 22097
0.0665, 23052
0.0675, 23340
0.0685, 23119
0.0695, 23237
0.0705, 23344
0.0715, 23986
0.0725, 24477
0.0735, 24382
0.0745, 24649
0.0755, 24569
0.0765, 24959
0.0775, 26000
0.0785, 25927
0.0795, 26026
0.0805, 25750
0.0815, 25948
0.0825, 27020
0.0835, 26811
0.0845, 27192
0.0855, 27176
0.0865, 27433
0.0875, 27439
0.0885, 28315
0.0895, 28160
0.0905, 28163
0.0915, 28382
0.0925, 28340
0.0935, 29065
0.0945, 29508
0.0955, 29388
0.0965, 29563
0.0975, 29628
0.0985, 30091
0.0995, 30763
0.1005, 30545
0.1015, 30676
0.1025, 30484
0.1035, 30959
0.1045, 31107
0.1055, 31653
0.1065, 31705
0.1075, 31683
0.1085, 31796
0.1095, 31632
0.1105, 32678
0.1115, 32906
0.1125, 32641
0.1135, 32833
0.1145, 32995
0.1155, 33598
0.1165, 33790
0.1175, 33594
0.1185, 34110
0.1195, 33933
0.1205, 34294
0.1215, 34721
0.1225, 34618
0.1235, 34665
0.1245, 34747
0.1255, 34862
0.1265, 35327
0.1275, 35950
0.1285, 35630
0.1295, 35940
0.1305, 35972
0.1315, 36073
0.1325, 36744
0.1335, 36466
0.1345, 36546
0.1355, 36613
0.1365, 36485
0.1375, 37264
0.1385, 37654
0.1395, 37619
0.1405, 37139
0.1415, 37460
0.1425, 37876
0.1435, 38242
0.1445, 38436
0.1455, 38354
0.1465, 38386
0.1475, 38442
0.1485, 38693
0.1495, 38835
0.1505, 39307
0.1515, 39099
0.1525, 39127
0.1535, 39395
0.1545, 40012
0.1555, 40233
0.1565, 39883
0.1575, 39594
0.1585, 39739
0.1595, 40647
0.1605, 40713
0.1615, 41055
0.1625, 40772
0.1635, 40439
0.1645, 40563
0.1655, 40872
0.1665, 41276
0.1675, 41655
0.1685, 41157
0.1695, 41763
0.1705, 41572
0.1715, 42326
0.1725, 41854
0.1735, 42408
0.1745, 42213
0.1755, 42087
0.1765, 42924
0.1775, 42802
0.1785, 42940
0.1795, 42555
0.1805, 42258
0.1815, 42950
0.1825, 43098
0.1835, 43286
0.1845, 43405
0.1855, 43457
0.1865, 43396
0.1875, 43654
0.1885, 44235
0.1895, 43651
0.1905, 43862
0.1915, 44083
0.1925, 44321
0.1935, 44354
0.1945, 44039
0.1955, 44155
0.1965, 44007
0.1975, 44226
0.1985, 45150
0.1995, 45034
0.2005, 44750
0.2015, 44498
0.2025, 44752
0.2035, 45275
0.2045, 45111
0.2055, 45638
0.2065, 44891
0.2075, 45061
0.2085, 45715
0.2095, 46107
0.2105, 45660
0.2115, 45525
0.2125, 45484
0.2135, 45690
0.2145, 46096
0.2155, 45943
0.2165, 46161
0.2175, 46370
0.2185, 45878
0.2195, 46414
0.2205, 46378
0.2215, 46576
0.2225, 46550
0.2235, 46308
0.2245, 45655
0.2255, 46951
0.2265, 47027
0.2275, 46948
0.2285, 47104
0.2295, 46486
0.2305, 46616
0.2315, 47135
0.2325, 46923
0.2335, 47530
0.2345, 46676
0.2355, 47088
0.2365, 47161
0.2375, 47683
0.2385, 47616
0.2395, 47576
0.2405, 47202
0.2415, 47238
0.2425, 47294
0.2435, 47450
0.2445, 47172
0.2455, 47721
0.2465, 47256
0.2475, 47500
0.2485, 47496
0.2495, 47539
0.2505, 47927
0.2515, 47397
0.2525, 47977
0.2535, 47853
0.2545, 47950
0.2555, 48026
0.2565, 47501
0.2575, 47688
0.2585, 48027
0.2595, 47775
0.2605, 47614
0.2615, 47730
0.2625, 47516
0.2635, 48008
0.2645, 48209
0.2655, 48311
0.2665, 47866
0.2675, 48121
0.2685, 47673
0.2695, 47913
0.2705, 47773
0.2715, 48451
0.2725, 48226
0.2735, 47741
0.2745, 47813
0.2755, 48372
0.2765, 48237
0.2775, 47749
0.2785, 47674
0.2795, 48031
0.2805, 47912
0.2815, 48094
0.2825, 48502
0.2835, 47868
0.2845, 47864
0.2855, 47639
0.2865, 47671
0.2875, 47509
0.2885, 48011
0.2895, 48048
0.2905, 47378
0.2915, 47646
0.2925, 48119
0.2935, 47996
0.2945, 47820
0.2955, 47591
0.2965, 47818
0.2975, 47888
0.2985, 47321
