Bin Center, Count
0.0005, 61442
0.0015, 62513
0.0025, 62486
0.0035, 62538
0.0045, 62496
0.0055, 62320
0.0065, 62547
0.0075, 62339
0.0085, 62822
0.0095, 64628
0.0105, 62868
0.0115, 61604
0.0125, 60750
0.0135, 61159
0.0145, 60901
0.0155, 59907
0.0165, 60233
0.0175, 60168
0.0185, 60095
0.0195, 59985
0.0205, 60367
0.0215, 59785
0.0225, 59727
0.0235, 59708
0.0245, 59400
0.0255, 59732
0.0265, 58984
0.0275, 59015
0.0285, 58553
0.0295, 58322
0.0305, 58750
0.0315, 58215
0.0325, 58899
0.0335, 58220
0.0345, 58268
0.0355, 58009
0.0365, 58176
0.0375, 58317
0.0385, 57631
0.0395, 57890
0.0405, 58059
0.0415, 57734
0.0425, 57454
0.0435, 57410
0.0445, 57707
0.0455, 57901
0.0465, 57319
0.0475, 57733
0.0485, 58894
0.0495, 59768
0.0505, 57700
0.0515, 57439
0.0525, 57591
0.0535, 57301
0.0545, 57630
0.0555, 58003
0.0565, 58043
0.0575, 58384
0.0585, 202261
0.0595, 323466
0.0605, 57243
0.0615, 56780
0.0625, 57230
0.0635, 57326
0.0645, 56975
0.0655, 57207
0.0665, 56951
0.0675, 171223
0.0685, 56964
0.0695, 90660
0.0705, 55615
0.0715, 55408
0.0725, 55852
0.0735, 55923
0.0745, 55309
0.0755, 55282
0.0765, 55179
0.0775, 55101
0.0785, 54452
0.0795, 55013
0.0805, 54724
0.0815, 54422
0.0825, 54042
0.0835, 54172
0.0845, 54146
0.0855, 54406
0.0865, 54102
0.0875, 54107
0.0885, 53867
0.0895, 54321
0.0905, 53837
0.0915, 53760
0.0925, 53657
0.0935, 53327
0.0945, 53373
0.0955, 53516
0.0965, 53606
0.0975, 53331
0.0985, 52589
0.0995, 52835
0.1005, 52988
0.1015, 53280
0.1025, 53183
0.1035, 52641
0.1045, 52678
0.1055, 52682
0.1065, 52787
0.1075, 52179
0.1085, 52234
0.1095, 52119
0.1105, 52548
0.1115, 52170
0.1125, 52316
0.1135, 52124
0.1145, 52346
0.1155, 52294
0.1165, 52455
0.1175, 53029
0.1185, 53258
0.1195, 51952
0.1205, 51602
0.1215, 51598
0.1225, 51627
0.1235, 51802
0.1245, 51132
0.1255, 52393
0.1265, 52297
0.1275, 51749
0.1285, 51719
0.1295, 51420
0.1305, 51363
0.1315, 51074
0.1325, 51666
0.1335, 51165
0.1345, 51412
0.1355, 50900
0.1365, 51346
0.1375, 50792
0.1385, 51439
0.1395, 51287
0.1405, 51377
0.1415, 50894
0.1425, 50896
0.1435, 50858
0.1445, 51131
0.1455, 50802
0.1465, 50699
0.1475, 51343
0.1485, 50735
0.1495, 50731
0.1505, 50672
0.1515, 50815
0.1525, 50717
0.1535, 50904
0.1545, 50369
0.1555, 51125
0.1565, 51023
0.1575, 50901
0.1585, 51061
0.1595, 51099
0.1605, 50788
0.1615, 51060
0.1625, 50982
0.1635, 51199
0.1645, 51073
0.1655, 51066
0.1665, 50749
0.1675, 50849
0.1685, 51072
0.1695, 51005
0.1705, 55776
0.1715, 59670
0.1725, 60214
0.1735, 60951
0.1745, 60564
0.1755, 60451
0.1765, 60439
0.1775, 60434
0.1785, 59770
0.1795, 59654
0.1805, 59097
0.1815, 58587
0.1825, 58366
0.1835, 58001
0.1845, 57813
0.1855, 57202
0.1865, 57544
0.1875, 56963
0.1885, 56575
0.1895, 56448
0.1905, 56156
0.1915, 55855
0.1925, 55792
0.1935, 55829
0.1945, 55153
0.1955, 55167
0.1965, 54913
0.1975, 54916
0.1985, 54216
0.1995, 54134
0.2005, 53960
0.2015, 53883
0.2025, 53796
0.2035, 53927
0.2045, 53908
0.2055, 53517
0.2065, 53566
