Energy Deposit (MeV), Count
0.0005, 61639
0.0015, 62386
0.0025, 62221
0.0035, 61994
0.0045, 62364
0.0055, 62357
0.0065, 62510
0.0075, 62334
0.0085, 63158
0.0095, 64633
0.0105, 62834
0.0115, 61736
0.0125, 61299
0.0135, 61212
0.0145, 60900
0.0155, 60331
0.0165, 60340
0.0175, 60548
0.0185, 60375
0.0195, 59978
0.0205, 60137
0.0215, 59291
0.0225, 59569
0.0235, 59805
0.0245, 59477
0.0255, 59407
0.0265, 59411
0.0275, 59078
0.0285, 58817
0.0295, 58687
0.0305, 58917
0.0315, 58480
0.0325, 58572
0.0335, 58363
0.0345, 58796
0.0355, 58110
0.0365, 58748
0.0375, 57987
0.0385, 58140
0.0395, 57887
0.0405, 58163
0.0415, 57974
0.0425, 57698
0.0435, 57416
0.0445, 57518
0.0455, 57566
0.0465, 57508
0.0475, 57845
0.0485, 59097
0.0495, 60005
0.0505, 57537
0.0515, 57646
0.0525, 57846
0.0535, 57702
0.0545, 58107
0.0555, 58146
0.0565, 58011
0.0575, 59012
0.0585, 201897
0.0595, 323010
0.0605, 57116
0.0615, 57198
0.0625, 57783
0.0635, 57029
0.0645, 57328
0.0655, 57419
0.0665, 57681
0.0675, 171775
0.0685, 56875
0.0695, 90454
0.0705, 55674
0.0715, 55825
0.0725, 55676
0.0735, 55156
0.0745, 55218
0.0755, 55303
0.0765, 54826
0.0775, 55532
0.0785, 55284
0.0795, 54631
0.0805, 54745
0.0815, 54478
0.0825, 54436
0.0835, 54316
0.0845, 54371
0.0855, 54050
0.0865, 53878
0.0875, 53602
0.0885, 53876
0.0895, 53718
0.0905, 53512
0.0915, 53970
0.0925, 53781
0.0935, 53509
0.0945, 53548
0.0955, 53343
0.0965, 53800
0.0975, 53242
0.0985, 52865
0.0995, 53139
0.1005, 52849
0.1015, 53367
0.1025, 52749
0.1035, 52748
0.1045, 52656
0.1055, 53013
0.1065, 52578
0.1075, 52297
0.1085, 52190
0.1095, 51862
0.1105, 52521
0.1115, 52524
0.1125, 52214
0.1135, 52127
0.1145, 52035
0.1155, 52152
0.1165, 52412
0.1175, 53041
0.1185, 52852
0.1195, 51854
0.1205, 51981
0.1215, 51658
0.1225, 51336
0.1235, 51453
0.1245, 51512
0.1255, 51794
0.1265, 52352
0.1275, 51943
0.1285, 51779
0.1295, 51375
0.1305, 51520
0.1315, 51484
0.1325, 51030
0.1335, 51604
0.1345, 51180
0.1355, 51015
0.1365, 51083
0.1375, 51379
0.1385, 51502
0.1395, 51317
0.1405, 50530
0.1415, 51291
0.1425, 51344
0.1435, 51231
0.1445, 51158
0.1455, 50745
0.1465, 50769
0.1475, 51000
0.1485, 50450
0.1495, 50826
0.1505, 50542
0.1515, 50897
0.1525, 50984
0.1535, 50851
0.1545, 50927
0.1555, 50941
0.1565, 50903
0.1575, 51138
0.1585, 51106
0.1595, 50724
0.1605, 51093
0.1615, 51173
0.1625, 51006
0.1635, 50697
0.1645, 50847
0.1655, 51080
0.1665, 50669
0.1675, 51143
0.1685, 51384
0.1695, 51147
0.1705, 55604
0.1715, 59184
0.1725, 60504
0.1735, 61099
0.1745, 60785
0.1755, 60856
0.1765, 60232
0.1775, 60070
0.1785, 59730
0.1795, 59387
0.1805, 58762
0.1815, 58567
0.1825, 58322
0.1835, 57644
0.1845, 57157
0.1855, 57734
0.1865, 56476
0.1875, 56599
0.1885, 56350
0.1895, 56563
0.1905, 55909
0.1915, 56335
0.1925, 55589
0.1935, 55497
0.1945, 55552
0.1955, 55096
0.1965, 54896
0.1975, 54621
0.1985, 54547
0.1995, 54222
0.2005, 54206
0.2015, 53915
0.2025, 53545
0.2035, 53613
0.2045, 53636
0.2055, 53709
0.2065, 53492
0.2075, 53439
0.2085, 53082
0.2095, 53118
0.2105, 52948
0.2115, 52786
0.2125, 53473
0.2135, 55585
0.2145, 55643
0.2155, 56230
0.2165, 55631
0.2175, 56068
0.2185, 56094
0.2195, 55620
0.2205, 55507
0.2215, 55083
0.2225, 55090
0.2235, 55014
0.2245, 54918
0.2255, 54756
0.2265, 54570
0.2275, 54316
0.2285, 54025
0.2295, 53741
0.2305, 53795
0.2315, 53909
0.2325, 53801
0.2335, 53599
0.2345, 53489
0.2355, 53974
0.2365, 53398
0.2375, 52975
0.2385, 52660
0.2395, 53625
0.2405, 53429
0.2415, 53284
0.2425, 52808
0.2435, 52828
0.2445, 53289
0.2455, 52858
0.2465, 52931
0.2475, 53116
0.2485, 52330
0.2495, 53313
0.2505, 52587
0.2515, 52661
0.2525, 59333
0.2535, 52725
0.2545, 52675
0.2555, 52562
0.2565, 52359
0.2575, 52429
0.2585, 52623
0.2595, 52595
0.2605, 52662
0.2615, 52580
0.2625, 52772
0.2635, 52551
0.2645, 52732
0.2655, 53303
0.2665, 53037
0.2675, 52389
0.2685, 53065
0.2695, 53056
0.2705, 52651
0.2715, 52891
0.2725, 53549
0.2735, 53162
0.2745, 53077
0.2755, 52917
0.2765, 53454
0.2775, 53452
0.2785, 53425
0.2795, 53828
0.2805, 54166
0.2815, 54241
0.2825, 54529
0.2835, 54352
0.2845, 55093
0.2855, 54687
0.2865, 55380
0.2875, 55096
0.2885, 55166
0.2895, 55257
0.2905, 55814
0.2915, 55981
0.2925, 56498
0.2935, 56154
0.2945, 56840
0.2955, 57383
0.2965, 57466
0.2975, 57520
0.2985, 58164
0.2995, 58517
0.3005, 58690
0.3015, 59066
0.3025, 59167
0.3035, 59731
0.3045, 60293
0.3055, 60848
0.3065, 61795
0.3075, 61540
0.3085, 62115
0.3095, 62885
0.3105, 63495
0.3115, 63726
0.3125, 64209
0.3135, 65065
0.3145, 65210
0.3155, 66832
0.3165, 66354
0.3175, 67860
0.3185, 68290
0.3195, 68851
0.3205, 70454
0.3215, 70781
0.3225, 71831
0.3235, 72653
0.3245, 73856
0.3255, 74776
0.3265, 76394
0.3275, 77481
0.3285, 78542
0.3295, 79413
0.3305, 80536
0.3315, 82457
0.3325, 83762
0.3335, 85222
0.3345, 87036
0.3355, 88622
0.3365, 90443
0.3375, 92219
0.3385, 93836
0.3395, 95317
0.3405, 78262
0.3415, 40953
0.3425, 40478
0.3435, 40033
0.3445, 39441
0.3455, 38996
0.3465, 38423
0.3475, 37840
0.3485, 37555
0.3495, 37071
0.3505, 36720
0.3515, 36254
0.3525, 36236
0.3535, 35878
0.3545, 35374
0.3555, 35242
0.3565, 34406
0.3575, 34220
0.3585, 33655
0.3595, 33482
0.3605, 33428
0.3615, 32602
0.3625, 32318
0.3635, 32157
0.3645, 31686
0.3655, 31197
0.3665, 31071
0.3675, 30550
0.3685, 30226
0.3695, 29906
0.3705, 30053
0.3715, 29206
0.3725, 29171
0.3735, 28532
0.3745, 28813
0.3755, 28057
0.3765, 27753
0.3775, 27747
0.3785, 27194
0.3795, 27121
0.3805, 26834
0.3815, 26681
0.3825, 26231
0.3835, 26080
0.3845, 25815
0.3855, 25677
0.3865, 25154
0.3875, 24833
0.3885, 24896
0.3895, 24410
0.3905, 24107
0.3915, 24095
0.3925, 23776
0.3935, 23424
0.3945, 23377
0.3955, 23312
0.3965, 22871
0.3975, 22755
0.3985, 22491
0.3995, 21682
0.4005, 19779
0.4015, 19327
0.4025, 18786
0.4035, 18389
0.4045, 18017
0.4055, 17809
0.4065, 17141
0.4075, 17055
0.4085, 16159
0.4095, 15697
0.4105, 15189
0.4115, 14981
0.4125, 15095
0.4135, 14809
0.4145, 14668
0.4155, 14255
0.4165, 14450
0.4175, 14016
0.4185, 14031
0.4195, 13846
0.4205, 13769
0.4215, 13548
0.4225, 13405
0.4235, 13262
0.4245, 13321
0.4255, 13035
0.4265, 13183
0.4275, 13044
0.4285, 12946
0.4295, 12980
0.4305, 12829
0.4315, 12628
0.4325, 12574
0.4335, 12479
0.4345, 12448
0.4355, 12552
0.4365, 12281
0.4375, 12320
0.4385, 12412
0.4395, 12358
0.4405, 11951
0.4415, 11740
0.4425, 11642
0.4435, 11649
0.4445, 11675
0.4455, 11495
0.4465, 11628
0.4475, 11419
0.4485, 11319
0.4495, 11252
0.4505, 11413
0.4515, 11204
0.4525, 11061
0.4535, 11144
0.4545, 11338
0.4555, 11158
0.4565, 10974
0.4575, 11038
0.4585, 11053
0.4595, 11111
0.4605, 10821
0.4615, 10926
0.4625, 11004
0.4635, 10961
0.4645, 11065
0.4655, 10887
0.4665, 10668
0.4675, 10815
0.4685, 10911
0.4695, 10751
0.4705, 11004
0.4715, 10853
0.4725, 10886
0.4735, 10943
0.4745, 10752
0.4755, 10784
0.4765, 10681
0.4775, 10880
0.4785, 10590
0.4795, 10789
0.4805, 10662
0.4815, 10656
0.4825, 10717
0.4835, 10698
0.4845, 10722
0.4855, 10774
0.4865, 10667
0.4875, 10814
0.4885, 10556
0.4895, 10497
0.4905, 10663
0.4915, 10455
0.4925, 10578
0.4935, 10522
0.4945, 10683
0.4955, 10676
0.4965, 10679
0.4975, 10374
0.4985, 10458
0.4995, 10276
0.5005, 10442
0.5015, 12143
0.5025, 10206
0.5035, 10128
0.5045, 10035
0.5055, 10106
0.5065, 10132
0.5075, 9960
0.5085, 9931
0.5095, 9806
0.5105, 6.72792e+06
0.5115, 10046
0.5125, 9916
0.5135, 9794
0.5145, 9994
0.5155, 9689
0.5165, 9894
0.5175, 9799
0.5185, 9829
0.5195, 9746
0.5205, 9810
0.5215, 9781
0.5225, 9700
0.5235, 9836
0.5245, 9516
0.5255, 9630
0.5265, 9509
0.5275, 9526
0.5285, 9569
0.5295, 9544
0.5305, 9492
0.5315, 9404
0.5325, 9390
0.5335, 9407
0.5345, 9525
0.5355, 9281
0.5365, 9317
0.5375, 9334
0.5385, 9389
0.5395, 9294
0.5405, 9373
0.5415, 9372
0.5425, 9364
0.5435, 9088
0.5445, 9410
0.5455, 9072
0.5465, 9376
0.5475, 9049
0.5485, 9274
0.5495, 9254
0.5505, 9076
0.5515, 9141
0.5525, 9321
0.5535, 9120
0.5545, 8964
0.5555, 8973
0.5565, 8992
0.5575, 9107
0.5585, 9037
0.5595, 9299
0.5605, 9285
0.5615, 9096
0.5625, 9086
0.5635, 9074
0.5645, 9063
0.5655, 9026
0.5665, 8820
0.5675, 9038
0.5685, 9237
0.5695, 16062
0.5705, 22328
0.5715, 8875
0.5725, 9122
0.5735, 9158
0.5745, 9083
0.5755, 9215
0.5765, 9108
0.5775, 8898
0.5785, 15095
0.5795, 9010
0.5805, 10964
0.5815, 9095
0.5825, 9009
0.5835, 8918
0.5845, 8963
0.5855, 8883
0.5865, 8859
0.5875, 8830
0.5885, 8779
0.5895, 8724
0.5905, 8849
0.5915, 8721
0.5925, 8591
0.5935, 8641
0.5945, 8676
0.5955, 8801
0.5965, 8693
0.5975, 8651
0.5985, 8852
0.5995, 8548
0.6005, 8748
0.6015, 8511
0.6025, 8599
0.6035, 8513
0.6045, 8532
0.6055, 8589
0.6065, 8627
0.6075, 8616
0.6085, 8443
0.6095, 8450
0.6105, 8572
0.6115, 8534
0.6125, 8440
0.6135, 8502
0.6145, 8548
0.6155, 8514
0.6165, 8533
0.6175, 8514
0.6185, 8472
0.6195, 8501
0.6205, 8427
0.6215, 8574
0.6225, 8403
0.6235, 8691
0.6245, 8353
0.6255, 8603
0.6265, 8387
0.6275, 8445
0.6285, 8414
0.6295, 8631
0.6305, 8523
0.6315, 8441
0.6325, 8464
0.6335, 8357
0.6345, 8551
0.6355, 8548
0.6365, 8437
0.6375, 8570
0.6385, 8478
0.6395, 8495
0.6405, 8416
0.6415, 8600
0.6425, 8481
0.6435, 8598
0.6445, 8619
0.6455, 8542
0.6465, 8467
0.6475, 8590
0.6485, 8613
0.6495, 8473
0.6505, 8410
0.6515, 8674
0.6525, 8717
0.6535, 8761
0.6545, 8728
0.6555, 8678
0.6565, 8784
0.6575, 8650
0.6585, 8728
0.6595, 8964
0.6605, 8866
0.6615, 8742
0.6625, 8755
0.6635, 8825
0.6645, 8962
0.6655, 8705
0.6665, 8828
0.6675, 8991
0.6685, 8888
0.6695, 8784
0.6705, 8871
0.6715, 9159
0.6725, 8923
0.6735, 8879
0.6745, 8816
0.6755, 8994
0.6765, 9081
0.6775, 9012
