Bin Center, Count
0.0005, 1.85221e+07
0.0015, 9219
0.0025, 9085
0.0035, 9216
0.0045, 9055
0.0055, 20940
0.0065, 31011
0.0075, 31377
0.0085, 31247
0.0095, 30923
0.0105, 32718
0.0115, 55776
0.0125, 56138
0.0135, 56155
0.0145, 56138
0.0155, 56276
0.0165, 69207
0.0175, 78947
0.0185, 79735
0.0195, 78715
0.0205, 79583
0.0215, 81566
0.0225, 99153
0.0235, 100525
0.0245, 100516
0.0255, 100447
0.0265, 100333
0.0275, 112163
0.0285, 120152
0.0295, 120227
0.0305, 120575
0.0315, 120202
0.0325, 123277
0.0335, 137333
0.0345, 138769
0.0355, 138551
0.0365, 138578
0.0375, 138660
0.0385, 150126
0.0395, 155883
0.0405, 156309
0.0415, 157408
0.0425, 156625
0.0435, 160544
0.0445, 171790
0.0455, 172160
0.0465, 173255
0.0475, 174253
0.0485, 173343
0.0495, 183305
0.0505, 188844
0.0515, 188812
0.0525, 188830
0.0535, 188580
0.0545, 193108
0.0555, 201880
0.0565, 204089
0.0575, 203546
0.0585, 204020
0.0595, 203765
0.0605, 214558
0.0615, 219505
0.0625, 218352
0.0635, 218332
0.0645, 218375
0.0655, 223400
0.0665, 231180
0.0675, 231784
0.0685, 232644
0.0695, 232604
0.0705, 232312
0.0715, 241642
0.0725, 245307
0.0735, 245900
0.0745, 246671
0.0755, 246215
0.0765, 249845
0.0775, 257408
0.0785, 259517
0.0795, 259136
0.0805, 258002
0.0815, 259163
0.0825, 267609
0.0835, 270148
0.0845, 271747
0.0855, 271750
0.0865, 272929
0.0875, 276016
0.0885, 282446
0.0895, 283108
0.0905, 284086
0.0915, 282656
0.0925, 283531
0.0935, 292085
0.0945, 295752
0.0955, 294346
0.0965, 294621
0.0975, 296418
0.0985, 298887
0.0995, 305218
0.1005, 305388
0.1015, 306157
0.1025, 306397
0.1035, 308044
0.1045, 312853
0.1055, 316780
0.1065, 318004
0.1075, 317127
0.1085, 317194
0.1095, 320435
0.1105, 326948
0.1115, 328109
0.1125, 327961
0.1135, 328154
0.1145, 328770
0.1155, 333084
0.1165, 337412
0.1175, 338689
0.1185, 338648
0.1195, 337990
0.1205, 340839
0.1215, 347453
0.1225, 346902
0.1235, 347787
0.1245, 348026
0.1255, 348743
0.1265, 352925
0.1275, 358272
0.1285, 356697
0.1295, 357441
0.1305, 358209
0.1315, 360167
0.1325, 366029
0.1335, 366875
0.1345, 365183
0.1355, 367009
0.1365, 366013
0.1375, 371988
0.1385, 374457
0.1395, 374354
0.1405, 374203
0.1415, 375056
0.1425, 376798
0.1435, 382739
0.1445, 383514
0.1455, 383129
0.1465, 384463
0.1475, 383695
0.1485, 389093
0.1495, 392116
0.1505, 390807
0.1515, 391424
0.1525, 391262
0.1535, 393834
0.1545, 398589
0.1555, 399069
0.1565, 398818
0.1575, 398120
0.1585, 398319
0.1595, 405512
0.1605, 406335
0.1615, 407305
0.1625, 407166
0.1635, 406389
0.1645, 407559
0.1655, 413469
0.1665, 413049
0.1675, 414311
0.1685, 413656
0.1695, 413341
0.1705, 418064
0.1715, 420383
0.1725, 420695
0.1735, 419741
0.1745, 421047
0.1755, 422014
0.1765, 426602
0.1775, 426373
0.1785, 426972
0.1795, 426257
0.1805, 426650
0.1815, 430317
0.1825, 431936
0.1835, 433026
0.1845, 432498
0.1855, 431339
0.1865, 432973
0.1875, 438909
0.1885, 438891
0.1895, 437741
0.1905, 438399
0.1915, 437850
0.1925, 441090
0.1935, 443994
0.1945, 442892
0.1955, 442929
0.1965, 444600
0.1975, 445288
0.1985, 448960
0.1995, 449203
0.2005, 449070
0.2015, 447943
0.2025, 447741
0.2035, 451753
0.2045, 453687
0.2055, 453979
0.2065, 452161
0.2075, 453583
0.2085, 453028
0.2095, 456483
0.2105, 457612
0.2115, 456749
0.2125, 456601
0.2135, 455330
0.2145, 460141
0.2155, 461979
0.2165, 461455
0.2175, 462013
0.2185, 460413
0.2195, 461372
0.2205, 464843
0.2215, 465046
0.2225, 464802
0.2235, 464675
0.2245, 461878
0.2255, 468928
0.2265, 467617
0.2275, 468487
0.2285, 466806
0.2295, 467251
0.2305, 467986
0.2315, 471994
0.2325, 470762
0.2335, 471364
0.2345, 470668
0.2355, 467538
0.2365, 472696
0.2375, 473648
0.2385, 473617
0.2395, 473697
0.2405, 471975
0.2415, 472078
0.2425, 474601
0.2435, 475705
0.2445, 473568
0.2455, 475566
0.2465, 472476
0.2475, 477443
0.2485, 477053
0.2495, 476515
0.2505, 477138
0.2515, 475614
0.2525, 477630
0.2535, 478103
0.2545, 479470
0.2555, 479075
0.2565, 477523
0.2575, 475284
0.2585, 480642
0.2595, 478198
0.2605, 479632
0.2615, 478877
0.2625, 477787
0.2635, 479207
0.2645, 480644
0.2655, 481088
0.2665, 480408
0.2675, 478311
0.2685, 476551
0.2695, 481731
0.2705, 480693
0.2715, 480569
0.2725, 480848
0.2735, 478199
0.2745, 479320
0.2755, 481494
0.2765, 480187
0.2775, 481278
0.2785, 479883
0.2795, 476269
0.2805, 479931
0.2815, 480527
0.2825, 481221
0.2835, 480482
0.2845, 477533
0.2855, 478390
0.2865, 479719
0.2875, 478885
0.2885, 479436
0.2895, 478846
0.2905, 475222
0.2915, 478353
0.2925, 479147
0.2935, 479226
0.2945, 478499
0.2955, 475051
0.2965, 477036
0.2975, 477011
0.2985, 476852
0.2995, 477179
0.3005, 474677
0.3015, 474349
0.3025, 474353
0.3035, 474489
0.3045, 475993
0.3055, 473771
0.3065, 471173
0.3075, 472849
0.3085, 473347
0.3095, 473959
0.3105, 472877
0.3115, 470395
0.3125, 468808
0.3135, 471801
0.3145, 470789
0.3155, 470823
0.3165, 471724
0.3175, 464949
0.3185, 468580
0.3195, 466691
0.3205, 468074
0.3215, 468803
0.3225, 465832
0.3235, 463060
0.3245, 464431
0.3255, 464941
0.3265, 465392
0.3275, 464814
0.3285, 459118
0.3295, 461739
0.3305, 461987
0.3315, 461177
0.3325, 461556
0.3335, 456944
0.3345, 456134
0.3355, 456629
0.3365, 457199
0.3375, 457649
0.3385, 456276
0.3395, 450809
0.3405, 453903
0.3415, 452599
0.3425, 453082
0.3435, 454140
0.3445, 449919
0.3455, 447347
0.3465, 447916
0.3475, 450082
0.3485, 448640
0.3495, 448227
0.3505, 443649
0.3515, 444128
0.3525, 443717
0.3535, 443103
0.3545, 442649
0.3555, 438901
0.3565, 438045
0.3575, 438885
0.3585, 437746
0.3595, 439243
0.3605, 436467
0.3615, 432105
0.3625, 431508
0.3635, 432657
0.3645, 432690
0.3655, 432337
0.3665, 427245
0.3675, 426528
0.3685, 426237
0.3695, 426984
0.3705, 426680
0.3715, 424576
0.3725, 421167
0.3735, 421288
0.3745, 419392
0.3755, 420969
0.3765, 420265
0.3775, 414879
0.3785, 413782
0.3795, 413078
0.3805, 414411
0.3815, 413074
0.3825, 411201
0.3835, 406458
0.3845, 406994
0.3855, 406835
0.3865, 407049
0.3875, 407003
0.3885, 401230
0.3895, 397588
0.3905, 399317
0.3915, 398124
0.3925, 399489
0.3935, 396140
0.3945, 392330
0.3955, 391246
0.3965, 391111
0.3975, 391561
0.3985, 392230
0.3995, 385620
0.4005, 383971
0.4015, 383140
0.4025, 384080
0.4035, 382662
0.4045, 380175
0.4055, 375860
0.4065, 375147
0.4075, 373548
0.4085, 374975
0.4095, 374353
0.4105, 367781
0.4115, 366914
0.4125, 365518
0.4135, 366568
0.4145, 366225
0.4155, 363944
0.4165, 358630
0.4175, 358303
0.4185, 356672
0.4195, 357404
0.4205, 357053
0.4215, 349871
0.4225, 348341
0.4235, 348579
0.4245, 346950
0.4255, 347848
0.4265, 343604
0.4275, 338976
0.4285, 338840
0.4295, 338302
0.4305, 337949
0.4315, 336769
0.4325, 330984
0.4335, 327504
0.4345, 328137
0.4355, 328587
0.4365, 328297
0.4375, 323556
0.4385, 317981
0.4395, 317268
0.4405, 317566
0.4415, 317587
0.4425, 315498
0.4435, 309992
0.4445, 306931
0.4455, 306750
0.4465, 306134
0.4475, 305223
0.4485, 302626
0.4495, 297059
0.4505, 295800
0.4515, 293871
0.4525, 295650
0.4535, 294308
0.4545, 288000
0.4555, 282702
0.4565, 283529
0.4575, 283784
0.4585, 283768
0.4595, 279808
0.4605, 272753
0.4615, 272638
0.4625, 271324
0.4635, 271852
0.4645, 269473
0.4655, 262709
0.4665, 258969
0.4675, 258589
0.4685, 258966
0.4695, 259576
0.4705, 255223
0.4715, 245676
0.4725, 247053
0.4735, 245888
0.4745, 245815
0.4755, 243837
0.4765, 237095
0.4775, 232319
0.4785, 232462
0.4795, 232565
0.4805, 232703
0.4815, 228836
0.4825, 218947
0.4835, 218100
0.4845, 218433
0.4855, 219406
0.4865, 217468
0.4875, 208601
0.4885, 203944
0.4895, 203667
0.4905, 204049
0.4915, 203680
0.4925, 198973
0.4935, 189071
0.4945, 188700
0.4955, 189006
0.4965, 188757
0.4975, 187501
