Bin Center, Count
0.0005, 5237
0.0015, 5579
0.0025, 5677
0.0035, 5615
0.0045, 5758
0.0055, 5824
0.0065, 5713
0.0075, 5718
0.0085, 6029
0.0095, 6334
0.0105, 5682
0.0115, 5742
0.0125, 5522
0.0135, 5621
0.0145, 5505
0.0155, 5371
0.0165, 5482
0.0175, 5583
0.0185, 5432
0.0195, 5537
0.0205, 5555
0.0215, 5466
0.0225, 5473
0.0235, 5519
0.0245, 5374
0.0255, 5343
0.0265, 5355
0.0275, 5320
0.0285, 5407
0.0295, 5310
0.0305, 5320
0.0315, 5335
0.0325, 5421
0.0335, 5409
0.0345, 5323
0.0355, 5285
0.0365, 5266
0.0375, 5289
0.0385, 5344
0.0395, 5145
0.0405, 5263
0.0415, 5202
0.0425, 5124
0.0435, 5264
0.0445, 5249
0.0455, 5295
0.0465, 5319
0.0475, 5245
0.0485, 5439
0.0495, 5496
0.0505, 5252
0.0515, 5286
0.0525, 5346
0.0535, 5221
0.0545, 5346
0.0555, 5345
0.0565, 5422
0.0575, 5389
0.0585, 26544
0.0595, 44337
0.0605, 5140
0.0615, 5141
0.0625, 5317
0.0635, 5218
0.0645, 5200
0.0655, 5191
0.0665, 5141
0.0675, 21622
0.0685, 5081
0.0695, 9971
0.0705, 4808
0.0715, 4962
0.0725, 4892
0.0735, 4942
0.0745, 4869
0.0755, 4824
0.0765, 4838
0.0775, 4905
0.0785, 4833
0.0795, 4851
0.0805, 4797
0.0815, 4847
0.0825, 4802
0.0835, 4808
0.0845, 4730
0.0855, 4724
0.0865, 4765
0.0875, 4772
0.0885, 4756
0.0895, 4817
0.0905, 4732
0.0915, 4771
0.0925, 4801
0.0935, 4615
0.0945, 4731
0.0955, 4771
0.0965, 4875
0.0975, 4772
0.0985, 4700
0.0995, 4742
0.1005, 4676
0.1015, 4714
0.1025, 4521
0.1035, 4786
0.1045, 4742
0.1055, 4502
0.1065, 4533
0.1075, 4554
0.1085, 4637
0.1095, 4546
0.1105, 4697
0.1115, 4616
0.1125, 4787
0.1135, 4653
0.1145, 4626
0.1155, 4506
0.1165, 4666
0.1175, 4487
0.1185, 4601
0.1195, 4546
0.1205, 4586
0.1215, 4443
0.1225, 4491
0.1235, 4520
0.1245, 4405
0.1255, 4551
0.1265, 4563
0.1275, 4523
0.1285, 4427
0.1295, 4489
0.1305, 4416
0.1315, 4530
0.1325, 4441
0.1335, 4467
0.1345, 4385
0.1355, 4378
0.1365, 4390
0.1375, 4368
0.1385, 4426
0.1395, 4427
0.1405, 4468
0.1415, 4323
0.1425, 4428
0.1435, 4360
0.1445, 4522
0.1455, 4394
0.1465, 4279
0.1475, 4291
0.1485, 4285
0.1495, 4479
0.1505, 4398
0.1515, 4340
0.1525, 4329
0.1535, 4245
0.1545, 4222
0.1555, 4452
0.1565, 4423
0.1575, 4355
0.1585, 4291
0.1595, 4219
0.1605, 4352
0.1615, 4240
0.1625, 4264
0.1635, 4380
0.1645, 4260
0.1655, 4229
0.1665, 4219
0.1675, 4326
0.1685, 4289
0.1695, 4414
0.1705, 4466
0.1715, 4432
0.1725, 4545
0.1735, 4494
0.1745, 4596
0.1755, 4435
0.1765, 4536
0.1775, 4682
0.1785, 4470
0.1795, 4495
0.1805, 4720
0.1815, 4433
0.1825, 4424
0.1835, 4561
0.1845, 4527
0.1855, 4579
0.1865, 4451
0.1875, 4475
0.1885, 4491
0.1895, 4406
0.1905, 4525
0.1915, 4532
0.1925, 4436
0.1935, 4540
0.1945, 4406
0.1955, 4389
0.1965, 4469
0.1975, 4534
0.1985, 4478
0.1995, 4578
0.2005, 4437
0.2015, 4368
0.2025, 4470
0.2035, 4509
0.2045, 4396
0.2055, 4321
0.2065, 4476
0.2075, 4395
0.2085, 4361
0.2095, 4364
0.2105, 4433
0.2115, 4419
0.2125, 4386
0.2135, 4391
0.2145, 4392
0.2155, 4392
0.2165, 4405
0.2175, 4384
0.2185, 4501
0.2195, 4458
0.2205, 4328
0.2215, 4405
0.2225, 4254
0.2235, 4378
0.2245, 4264
0.2255, 4271
0.2265, 4260
0.2275, 4175
0.2285, 4307
0.2295, 4230
0.2305, 4336
0.2315, 4199
0.2325, 4371
0.2335, 4194
0.2345, 4166
0.2355, 4216
0.2365, 4130
0.2375, 4179
0.2385, 4173
0.2395, 4078
0.2405, 4122
0.2415, 4125
0.2425, 4160
0.2435, 4187
0.2445, 4152
0.2455, 4062
0.2465, 4158
0.2475, 4110
0.2485, 4154
0.2495, 4168
0.2505, 4064
0.2515, 4252
0.2525, 4757
0.2535, 4143
0.2545, 4132
0.2555, 4262
0.2565, 4214
0.2575, 4192
0.2585, 4101
0.2595, 4114
0.2605, 4175
0.2615, 4149
0.2625, 4386
0.2635, 4270
0.2645, 4282
0.2655, 4205
0.2665, 4203
0.2675, 4267
0.2685, 4362
0.2695, 4290
0.2705, 4268
0.2715, 4376
0.2725, 4474
0.2735, 4358
0.2745, 4344
0.2755, 4499
0.2765, 4420
0.2775, 4506
0.2785, 4540
0.2795, 4515
0.2805, 4590
0.2815, 4563
0.2825, 4650
0.2835, 4558
0.2845, 4677
0.2855, 4722
0.2865, 4716
0.2875, 4748
0.2885, 4795
0.2895, 4813
0.2905, 4880
0.2915, 4857
