Energy Deposit (MeV), Count
0.0005, 5323
0.0015, 5642
0.0025, 5668
0.0035, 5548
0.0045, 5637
0.0055, 5654
0.0065, 5692
0.0075, 5761
0.0085, 6025
0.0095, 6266
0.0105, 5927
0.0115, 5733
0.0125, 5604
0.0135, 5685
0.0145, 5527
0.0155, 5469
0.0165, 5421
0.0175, 5624
0.0185, 5480
0.0195, 5347
0.0205, 5497
0.0215, 5578
0.0225, 5346
0.0235, 5351
0.0245, 5377
0.0255, 5317
0.0265, 5415
0.0275, 5313
0.0285, 5427
0.0295, 5374
0.0305, 5266
0.0315, 5323
0.0325, 5495
0.0335, 5414
0.0345, 5430
0.0355, 5276
0.0365, 5163
0.0375, 5385
0.0385, 5347
0.0395, 5348
0.0405, 5139
0.0415, 5174
0.0425, 5235
0.0435, 5198
0.0445, 5233
0.0455, 5277
0.0465, 5268
0.0475, 5219
0.0485, 5537
0.0495, 5557
0.0505, 5128
0.0515, 5215
0.0525, 5165
0.0535, 5356
0.0545, 5414
0.0555, 5329
0.0565, 5531
0.0575, 5496
0.0585, 26474
0.0595, 44251
0.0605, 5253
0.0615, 5143
0.0625, 5262
0.0635, 5103
0.0645, 5094
0.0655, 5116
0.0665, 5266
0.0675, 21681
0.0685, 5104
0.0695, 9800
0.0705, 5029
0.0715, 4849
0.0725, 4889
0.0735, 4849
0.0745, 4762
0.0755, 4944
0.0765, 4888
0.0775, 4865
0.0785, 4825
0.0795, 4774
0.0805, 4888
0.0815, 4827
0.0825, 4818
0.0835, 4669
0.0845, 4824
0.0855, 4803
0.0865, 4870
0.0875, 4857
0.0885, 4737
0.0895, 4796
0.0905, 4852
0.0915, 4822
0.0925, 4692
0.0935, 4792
0.0945, 4778
0.0955, 4786
0.0965, 4679
0.0975, 4763
0.0985, 4777
0.0995, 4835
0.1005, 4518
0.1015, 4696
0.1025, 4644
0.1035, 4618
0.1045, 4588
0.1055, 4779
0.1065, 4635
0.1075, 4456
0.1085, 4678
0.1095, 4705
0.1105, 4690
0.1115, 4527
0.1125, 4716
0.1135, 4525
0.1145, 4490
0.1155, 4574
0.1165, 4497
0.1175, 4572
0.1185, 4545
0.1195, 4588
0.1205, 4462
0.1215, 4502
0.1225, 4470
0.1235, 4596
0.1245, 4461
0.1255, 4540
0.1265, 4562
0.1275, 4627
0.1285, 4560
0.1295, 4595
0.1305, 4474
0.1315, 4439
0.1325, 4468
0.1335, 4462
0.1345, 4419
0.1355, 4335
0.1365, 4448
0.1375, 4457
0.1385, 4433
0.1395, 4429
0.1405, 4420
0.1415, 4352
0.1425, 4270
0.1435, 4418
0.1445, 4345
0.1455, 4299
0.1465, 4329
0.1475, 4394
0.1485, 4466
0.1495, 4240
0.1505, 4262
0.1515, 4288
0.1525, 4364
0.1535, 4405
0.1545, 4278
0.1555, 4452
0.1565, 4350
0.1575, 4517
0.1585, 4312
0.1595, 4258
0.1605, 4356
0.1615, 4344
0.1625, 4266
0.1635, 4276
0.1645, 4330
0.1655, 4296
0.1665, 4362
0.1675, 4245
0.1685, 4288
0.1695, 4233
0.1705, 4425
0.1715, 4413
0.1725, 4560
0.1735, 4542
0.1745, 4574
0.1755, 4632
0.1765, 4462
0.1775, 4453
0.1785, 4627
0.1795, 4635
0.1805, 4500
0.1815, 4502
0.1825, 4514
0.1835, 4600
0.1845, 4420
0.1855, 4592
0.1865, 4633
0.1875, 4501
0.1885, 4322
0.1895, 4589
0.1905, 4476
0.1915, 4459
0.1925, 4466
0.1935, 4475
0.1945, 4517
0.1955, 4428
0.1965, 4428
0.1975, 4517
0.1985, 4513
0.1995, 4562
0.2005, 4491
0.2015, 4444
0.2025, 4524
0.2035, 4621
0.2045, 4395
0.2055, 4472
0.2065, 4429
0.2075, 4446
0.2085, 4417
0.2095, 4403
0.2105, 4398
0.2115, 4362
0.2125, 4434
0.2135, 4391
0.2145, 4537
0.2155, 4444
0.2165, 4340
0.2175, 4326
0.2185, 4418
0.2195, 4288
0.2205, 4273
0.2215, 4304
0.2225, 4229
0.2235, 4281
0.2245, 4333
0.2255, 4218
0.2265, 4238
0.2275, 4335
0.2285, 4121
0.2295, 4227
0.2305, 4191
0.2315, 4168
0.2325, 4228
0.2335, 4209
0.2345, 4273
0.2355, 4118
0.2365, 4111
0.2375, 4188
0.2385, 4210
0.2395, 4217
0.2405, 4152
0.2415, 4271
0.2425, 4250
0.2435, 4152
0.2445, 4097
0.2455, 4063
0.2465, 4072
0.2475, 4290
0.2485, 4185
0.2495, 4131
0.2505, 4246
0.2515, 4229
0.2525, 4761
0.2535, 4155
0.2545, 4042
0.2555, 4197
0.2565, 4110
0.2575, 4100
0.2585, 4187
0.2595, 4248
0.2605, 4224
0.2615, 4114
0.2625, 4134
0.2635, 4148
0.2645, 4141
0.2655, 4137
0.2665, 4264
0.2675, 4265
0.2685, 4320
0.2695, 4268
0.2705, 4243
0.2715, 4346
0.2725, 4490
0.2735, 4394
0.2745, 4495
0.2755, 4360
0.2765, 4421
0.2775, 4494
0.2785, 4438
0.2795, 4436
0.2805, 4671
0.2815, 4641
0.2825, 4717
0.2835, 4671
0.2845, 4707
0.2855, 4771
0.2865, 4899
0.2875, 4784
0.2885, 4776
0.2895, 4900
0.2905, 4836
0.2915, 4799
0.2925, 5045
0.2935, 5002
0.2945, 5007
0.2955, 5068
0.2965, 5119
0.2975, 5097
0.2985, 5244
0.2995, 5153
0.3005, 5173
0.3015, 5227
0.3025, 5320
0.3035, 5234
0.3045, 5495
0.3055, 5568
0.3065, 5469
0.3075, 5490
0.3085, 5562
0.3095, 5583
0.3105, 5701
0.3115, 5725
0.3125, 5819
0.3135, 5897
0.3145, 5942
0.3155, 5901
0.3165, 5955
0.3175, 6172
0.3185, 6061
0.3195, 6248
0.3205, 6494
0.3215, 6322
0.3225, 6493
0.3235, 6342
0.3245, 6448
0.3255, 6619
0.3265, 6707
0.3275, 6733
0.3285, 6801
0.3295, 6967
0.3305, 7007
0.3315, 7191
0.3325, 7116
0.3335, 7150
0.3345, 7409
0.3355, 7559
0.3365, 7490
0.3375, 7527
0.3385, 7647
0.3395, 7881
0.3405, 6419
0.3415, 3536
0.3425, 3534
0.3435, 3372
0.3445, 3518
0.3455, 3324
0.3465, 3358
0.3475, 3299
0.3485, 3268
0.3495, 3189
0.3505, 3232
0.3515, 3147
0.3525, 3060
0.3535, 3185
0.3545, 3061
0.3555, 3069
0.3565, 3066
0.3575, 3027
0.3585, 2927
0.3595, 2834
0.3605, 2942
0.3615, 2897
0.3625, 2868
0.3635, 2806
0.3645, 2764
0.3655, 2725
0.3665, 2705
0.3675, 2705
0.3685, 2728
0.3695, 2704
0.3705, 2640
0.3715, 2520
0.3725, 2706
0.3735, 2591
0.3745, 2475
0.3755, 2581
0.3765, 2480
0.3775, 2460
0.3785, 2387
0.3795, 2463
0.3805, 2378
0.3815, 2334
0.3825, 2242
0.3835, 2338
0.3845, 2205
0.3855, 2384
0.3865, 2241
0.3875, 2248
0.3885, 2191
0.3895, 2192
0.3905, 2220
0.3915, 2093
0.3925, 2049
0.3935, 2074
0.3945, 2080
0.3955, 2085
0.3965, 2058
0.3975, 2016
0.3985, 2040
0.3995, 1931
0.4005, 1952
0.4015, 1846
0.4025, 1769
0.4035, 1837
0.4045, 1822
0.4055, 1753
0.4065, 1775
0.4075, 1654
0.4085, 1635
0.4095, 1623
0.4105, 1627
0.4115, 1645
0.4125, 1582
0.4135, 1556
0.4145, 1589
0.4155, 1557
0.4165, 1525
0.4175, 1526
0.4185, 1586
0.4195, 1534
0.4205, 1507
0.4215, 1477
0.4225, 1536
0.4235, 1497
0.4245, 1473
0.4255, 1383
0.4265, 1379
0.4275, 1362
0.4285, 1445
0.4295, 1404
0.4305, 1372
0.4315, 1313
0.4325, 1300
0.4335, 1287
0.4345, 1251
0.4355, 1255
0.4365, 1330
0.4375, 1298
0.4385, 1245
0.4395, 1230
0.4405, 1269
0.4415, 1284
0.4425, 1165
0.4435, 1239
0.4445, 1222
0.4455, 1202
0.4465, 1317
0.4475, 1232
0.4485, 1235
0.4495, 1207
0.4505, 1181
0.4515, 1162
0.4525, 1144
0.4535, 1264
0.4545, 1207
0.4555, 1159
0.4565, 1171
0.4575, 1218
0.4585, 1205
0.4595, 1174
0.4605, 1190
0.4615, 1137
0.4625, 1131
0.4635, 1091
0.4645, 1173
