Energy Deposit (MeV), Count
0.3535, 1108
0.3545, 1079
0.3555, 1061
0.3565, 1099
0.3575, 1120
0.3585, 1089
0.3595, 1021
0.3605, 1073
0.3615, 1089
0.3625, 1008
0.3635, 981
0.3645, 1022
0.3655, 986
0.3665, 1023
0.3675, 987
0.3685, 904
0.3695, 940
0.3705, 895
0.3715, 966
0.3725, 928
0.3735, 911
0.3745, 852
0.3755, 894
0.3765, 892
0.3775, 888
0.3785, 829
0.3795, 855
0.3805, 871
0.3815, 841
0.3825, 799
0.3835, 793
0.3845, 794
0.3855, 827
0.3865, 813
0.3875, 762
0.3885, 781
0.3895, 772
0.3905, 724
0.3915, 726
0.3925, 746
0.3935, 685
0.3945, 657
0.3955, 740
0.3965, 684
0.3975, 646
0.3985, 640
0.3995, 647
0.4005, 601
0.4015, 677
0.4025, 606
0.4035, 573
0.4045, 527
0.4055, 599
0.4065, 537
0.4075, 559
0.4085, 496
0.4095, 490
0.4105, 543
0.4115, 505
0.4125, 465
0.4135, 500
0.4145, 488
0.4155, 433
0.4165, 507
0.4175, 481
0.4185, 449
0.4195, 486
0.4205, 450
0.4215, 466
0.4225, 430
0.4235, 434
0.4245, 457
0.4255, 445
0.4265, 416
0.4275, 409
0.4285, 431
0.4295, 422
0.4305, 378
0.4315, 419
0.4325, 465
0.4335, 412
0.4345, 381
0.4355, 391
0.4365, 391
0.4375, 348
0.4385, 365
0.4395, 362
0.4405, 324
0.4415, 337
0.4425, 344
0.4435, 374
0.4445, 329
0.4455, 336
0.4465, 337
0.4475, 344
0.4485, 356
0.4495, 351
0.4505, 360
0.4515, 326
0.4525, 320
0.4535, 310
0.4545, 339
0.4555, 293
0.4565, 313
0.4575, 290
0.4585, 339
0.4595, 304
0.4605, 317
0.4615, 318
0.4625, 303
0.4635, 310
0.4645, 323
0.4655, 347
0.4665, 295
0.4675, 300
0.4685, 316
0.4695, 287
0.4705, 296
0.4715, 294
0.4725, 287
0.4735, 291
0.4745, 293
0.4755, 325
0.4765, 288
0.4775, 325
0.4785, 311
0.4795, 283
0.4805, 309
0.4815, 313
0.4825, 308
0.4835, 306
0.4845, 256
0.4855, 285
0.4865, 285
0.4875, 304
0.4885, 259
0.4895, 259
0.4905, 299
0.4915, 295
0.4925, 289
0.4935, 254
0.4945, 248
0.4955, 274
0.4965, 274
0.4975, 272
0.4985, 286
0.4995, 271
0.5005, 264
0.5015, 310
0.5025, 260
0.5035, 257
0.5045, 244
0.5055, 262
0.5065, 261
0.5075, 213
0.5085, 243
0.5095, 234
0.5105, 172321
0.5115, 230
0.5125, 238
0.5135, 236
0.5145, 230
0.5155, 234
0.5165, 222
0.5175, 230
0.5185, 238
0.5195, 208
0.5205, 237
0.5215, 244
0.5225, 237
0.5235, 223
0.5245, 229
0.5255, 240
0.5265, 209
0.5275, 242
0.5285, 243
0.5295, 216
0.5305, 226
0.5315, 249
0.5325, 226
0.5335, 238
0.5345, 218
0.5355, 222
0.5365, 244
0.5375, 240
0.5385, 236
0.5395, 203
0.5405, 235
0.5415, 235
0.5425, 220
0.5435, 229
0.5445, 241
0.5455, 231
0.5465, 253
0.5475, 225
0.5485, 256
0.5495, 234
0.5505, 230
0.5515, 219
0.5525, 223
0.5535, 203
0.5545, 234
0.5555, 216
0.5565, 210
0.5575, 234
0.5585, 212
0.5595, 248
0.5605, 217
0.5615, 215
0.5625, 213
0.5635, 221
0.5645, 228
0.5655, 222
0.5665, 224
0.5675, 233
0.5685, 210
0.5695, 269
0.5705, 288
0.5715, 230
0.5725, 258
0.5735, 231
0.5745, 199
0.5755, 223
0.5765, 219
0.5775, 202
0.5785, 269
0.5795, 214
0.5805, 244
0.5815, 233
0.5825, 219
0.5835, 232
0.5845, 213
0.5855, 205
0.5865, 223
0.5875, 218
0.5885, 204
0.5895, 226
0.5905, 247
0.5915, 205
0.5925, 223
0.5935, 210
0.5945, 212
0.5955, 231
0.5965, 231
0.5975, 202
0.5985, 237
0.5995, 235
0.6005, 199
0.6015, 230
0.6025, 209
0.6035, 218
0.6045, 207
0.6055, 235
0.6065, 225
0.6075, 227
0.6085, 211
0.6095, 237
0.6105, 214
0.6115, 241
0.6125, 236
0.6135, 228
0.6145, 227
0.6155, 228
0.6165, 212
0.6175, 239
0.6185, 232
0.6195, 206
0.6205, 216
0.6215, 205
0.6225, 228
0.6235, 227
0.6245, 203
0.6255, 235
0.6265, 206
0.6275, 186
0.6285, 214
0.6295, 239
0.6305, 224
0.6315, 246
0.6325, 202
0.6335, 204
0.6345, 213
0.6355, 211
0.6365, 200
0.6375, 210
0.6385, 228
0.6395, 219
0.6405, 207
0.6415, 233
0.6425, 203
0.6435, 236
0.6445, 197
0.6455, 216
0.6465, 226
0.6475, 223
0.6485, 222
0.6495, 206
0.6505, 217
0.6515, 224
0.6525, 222
0.6535, 220
0.6545, 201
0.6555, 203
0.6565, 219
0.6575, 200
0.6585, 210
0.6595, 232
0.6605, 229
0.6615, 226
0.6625, 214
0.6635, 222
0.6645, 235
0.6655, 236
0.6665, 226
0.6675, 207
0.6685, 205
0.6695, 223
0.6705, 230
0.6715, 208
0.6725, 220
0.6735, 203
0.6745, 217
0.6755, 206
0.6765, 211
0.6775, 217
0.6785, 198
0.6795, 222
0.6805, 204
0.6815, 252
0.6825, 190
0.6835, 229
0.6845, 225
0.6855, 252
0.6865, 219
0.6875, 241
0.6885, 234
0.6895, 208
0.6905, 213
0.6915, 225
0.6925, 212
0.6935, 218
0.6945, 225
0.6955, 213
0.6965, 192
0.6975, 210
0.6985, 210
0.6995, 198
0.7005, 221
0.7015, 202
0.7025, 212
0.7035, 214
0.7045, 225
0.7055, 212
0.7065, 234
0.7075, 232
0.7085, 212
0.7095, 211
0.7105, 189
0.7115, 193
0.7125, 245
0.7135, 228
0.7145, 209
0.7155, 210
0.7165, 217
0.7175, 210
0.7185, 213
0.7195, 241
0.7205, 196
0.7215, 210
0.7225, 212
0.7235, 195
0.7245, 194
0.7255, 220
0.7265, 219
0.7275, 229
0.7285, 224
0.7295, 217
0.7305, 224
0.7315, 239
0.7325, 207
0.7335, 218
0.7345, 195
0.7355, 233
0.7365, 218
0.7375, 231
0.7385, 224
0.7395, 232
0.7405, 222
0.7415, 209
0.7425, 207
0.7435, 233
0.7445, 210
0.7455, 211
0.7465, 224
0.7475, 235
0.7485, 231
0.7495, 213
0.7505, 200
0.7515, 204
0.7525, 229
0.7535, 229
0.7545, 230
0.7555, 243
0.7565, 218
0.7575, 214
0.7585, 229
0.7595, 229
0.7605, 223
0.7615, 239
0.7625, 203
0.7635, 334
0.7645, 228
0.7655, 224
0.7665, 232
0.7675, 222
0.7685, 196
0.7695, 207
0.7705, 222
0.7715, 202
0.7725, 224
0.7735, 210
0.7745, 228
0.7755, 212
0.7765, 208
0.7775, 230
0.7785, 213
0.7795, 205
0.7805, 236
0.7815, 199
0.7825, 213
0.7835, 209
0.7845, 220
0.7855, 235
0.7865, 242
0.7875, 238
0.7885, 242
0.7895, 211
0.7905, 240
0.7915, 230
0.7925, 223
0.7935, 238
0.7945, 248
0.7955, 204
0.7965, 228
0.7975, 215
0.7985, 211
0.7995, 233
0.8005, 213
0.8015, 220
0.8025, 242
0.8035, 214
0.8045, 245
0.8055, 209
0.8065, 246
0.8075, 201
0.8085, 236
0.8095, 220
0.8105, 218
0.8115, 231
0.8125, 219
0.8135, 219
0.8145, 206
0.8155, 218
0.8165, 218
0.8175, 231
0.8185, 207
0.8195, 217
0.8205, 229
0.8215, 217
0.8225, 240
0.8235, 228
0.8245, 245
0.8255, 238
0.8265, 227
0.8275, 223
0.8285, 229
0.8295, 255
0.8305, 233
0.8315, 231
0.8325, 247
0.8335, 231
0.8345, 244
0.8355, 223
0.8365, 218
0.8375, 213
0.8385, 231
0.8395, 221
0.8405, 264
0.8415, 237
0.8425, 236
0.8435, 217
0.8445, 239
0.8455, 235
0.8465, 235
0.8475, 246
0.8485, 217
0.8495, 215
0.8505, 231
0.8515, 244
0.8525, 229
0.8535, 235
0.8545, 208
0.8555, 228
0.8565, 259
0.8575, 247
0.8585, 253
0.8595, 236
0.8605, 237
0.8615, 208
0.8625, 235
0.8635, 239
0.8645, 251
0.8655, 242
0.8665, 233
0.8675, 230
0.8685, 222
0.8695, 248
0.8705, 233
0.8715, 216
0.8725, 222
0.8735, 256
0.8745, 242
0.8755, 246
0.8765, 267
0.8775, 249
0.8785, 235
0.8795, 234
0.8805, 263
0.8815, 243
0.8825, 246
0.8835, 227
0.8845, 243
0.8855, 244
0.8865, 239
0.8875, 244
0.8885, 248
0.8895, 225
0.8905, 230
0.8915, 233
0.8925, 239
0.8935, 241
0.8945, 268
0.8955, 229
0.8965, 247
0.8975, 260
0.8985, 266
0.8995, 252
0.9005, 229
0.9015, 250
0.9025, 273
0.9035, 268
0.9045, 278
0.9055, 223
0.9065, 234
0.9075, 227
0.9085, 248
0.9095, 244
0.9105, 257
0.9115, 254
0.9125, 277
0.9135, 243
0.9145, 247
0.9155, 250
0.9165, 260
0.9175, 261
0.9185, 262
0.9195, 269
0.9205, 245
0.9215, 252
0.9225, 268
0.9235, 238
0.9245, 269
0.9255, 253
0.9265, 279
0.9275, 271
0.9285, 267
0.9295, 275
0.9305, 255
0.9315, 237
0.9325, 270
0.9335, 285
0.9345, 239
0.9355, 252
0.9365, 270
0.9375, 253
0.9385, 264
0.9395, 262
0.9405, 238
0.9415, 300
0.9425, 268
0.9435, 268
0.9445, 261
0.9455, 269
0.9465, 294
0.9475, 283
0.9485, 272
0.9495, 288
0.9505, 280
0.9515, 262
0.9525, 269
0.9535, 261
0.9545, 256
0.9555, 275
0.9565, 275
0.9575, 263
0.9585, 263
0.9595, 291
0.9605, 294
0.9615, 291
0.9625, 298
0.9635, 274
0.9645, 268
0.9655, 299
0.9665, 307
0.9675, 287
0.9685, 287
0.9695, 293
0.9705, 305
0.9715, 279
0.9725, 318
0.9735, 332
0.9745, 298
0.9755, 306
0.9765, 298
0.9775, 310
0.9785, 306
0.9795, 333
0.9805, 306
0.9815, 328
0.9825, 323
0.9835, 306
0.9845, 277
0.9855, 351
0.9865, 318
0.9875, 324
0.9885, 283
0.9895, 339
0.9905, 351
0.9915, 343
0.9925, 333
0.9935, 337
0.9945, 333
0.9955, 332
0.9965, 327
0.9975, 333
0.9985, 350
0.9995, 362
1.0005, 330
1.0015, 349
1.0025, 377
1.0035, 372
1.0045, 345
1.0055, 364
1.0065, 352
1.0075, 359
1.0085, 362
1.0095, 382
1.0105, 391
1.0115, 365
1.0125, 375
1.0135, 386
1.0145, 399
1.0155, 386
1.0165, 389
1.0175, 350
1.0185, 384
1.0195, 389
1.0205, 369
1.0215, 428
1.0225, 407
1.0235, 410
1.0245, 438
1.0255, 441
1.0265, 444
1.0275, 397
1.0285, 437
1.0295, 412
1.0305, 415
1.0315, 429
1.0325, 431
1.0335, 447
1.0345, 479
1.0355, 466
1.0365, 470
1.0375, 434
1.0385, 461
1.0395, 464
1.0405, 459
1.0415, 457
1.0425, 494
1.0435, 500
1.0445, 513
1.0455, 516
1.0465, 496
1.0475, 431
1.0485, 474
1.0495, 509
1.0505, 552
1.0515, 507
1.0525, 520
1.0535, 528
1.0545, 524
1.0555, 532
1.0565, 523
1.0575, 528
1.0585, 572
1.0595, 524
1.0605, 582
1.0615, 458
1.0625, 249
1.0635, 257
1.0645, 260
1.0655, 228
1.0665, 233
1.0675, 252
1.0685, 251
1.0695, 229
1.0705, 233
1.0715, 221
1.0725, 239
1.0735, 239
1.0745, 223
1.0755, 232
1.0765, 205
1.0775, 211
1.0785, 214
1.0795, 238
1.0805, 217
1.0815, 251
1.0825, 239
1.0835, 246
1.0845, 221
1.0855, 207
1.0865, 223
1.0875, 233
1.0885, 199
1.0895, 192
1.0905, 223
1.0915, 224
1.0925, 200
1.0935, 212
1.0945, 213
1.0955, 183
1.0965, 195
1.0975, 198
1.0985, 203
1.0995, 200
1.1005, 213
1.1015, 206
1.1025, 194
1.1035, 212
1.1045, 185
1.1055, 173
1.1065, 192
1.1075, 203
1.1085, 167
1.1095, 176
1.1105, 181
1.1115, 213
1.1125, 171
1.1135, 191
1.1145, 182
1.1155, 180
1.1165, 169
1.1175, 148
1.1185, 183
1.1195, 167
1.1205, 177
1.1215, 168
1.1225, 145
1.1235, 153
1.1245, 165
1.1255, 156
1.1265, 170
1.1275, 164
1.1285, 139
1.1295, 141
1.1305, 132
1.1315, 145
1.1325, 119
1.1335, 135
1.1345, 127
1.1355, 135
1.1365, 114
1.1375, 142
1.1385, 136
1.1395, 108
1.1405, 122
1.1415, 132
1.1425, 124
1.1435, 108
1.1445, 100
1.1455, 98
1.1465, 110
1.1475, 108
1.1485, 115
1.1495, 90
1.1505, 82
1.1515, 85
1.1525, 91
1.1535, 86
1.1545, 91
1.1555, 90
1.1565, 74
1.1575, 66
1.1585, 85
1.1595, 75
1.1605, 73
1.1615, 79
1.1625, 63
1.1635, 71
1.1645, 72
1.1655, 58
1.1665, 65
1.1675, 46
1.1685, 69
1.1695, 43
1.1705, 50
1.1715, 60
1.1725, 59
1.1735, 48
1.1745, 46
1.1755, 55
1.1765, 38
1.1775, 41
1.1785, 46
1.1795, 57
1.1805, 46
1.1815, 38
1.1825, 37
1.1835, 51
1.1845, 43
1.1855, 41
1.1865, 32
1.1875, 40
1.1885, 45
1.1895, 43
1.1905, 38
1.1915, 29
1.1925, 32
1.1935, 26
1.1945, 25
1.1955, 22
1.1965, 31
1.1975, 29
1.1985, 33
1.1995, 26
1.2005, 30
1.2015, 37
1.2025, 28
1.2035, 24
1.2045, 24
1.2055, 28
1.2065, 21
1.2075, 28
1.2085, 14
1.2095, 27
1.2105, 28
1.2115, 20
