Bin Center, Count
0.0005, 1884
0.0015, 1990
0.0025, 1942
0.0035, 1962
0.0045, 2045
0.0055, 1975
0.0065, 2059
0.0075, 2012
0.0085, 2043
0.0095, 2266
0.0105, 1992
0.0115, 1953
0.0125, 1988
0.0135, 1961
0.0145, 2024
0.0155, 1905
0.0165, 1952
0.0175, 1913
0.0185, 1940
0.0195, 1922
0.0205, 1888
0.0215, 1870
0.0225, 1865
0.0235, 1874
0.0245, 1911
0.0255, 1905
0.0265, 1859
0.0275, 1882
0.0285, 1906
0.0295, 1872
0.0305, 1896
0.0315, 1835
0.0325, 1928
0.0335, 1809
0.0345, 1847
0.0355, 1888
0.0365, 1847
0.0375, 1787
0.0385, 1876
0.0395, 1904
0.0405, 1884
0.0415, 1869
0.0425, 1893
0.0435, 1809
0.0445, 1803
0.0455, 1768
0.0465, 1797
0.0475, 1786
0.0485, 1892
0.0495, 1959
0.0505, 1867
0.0515, 1849
0.0525, 1897
0.0535, 1859
0.0545, 1883
0.0555, 1906
0.0565, 1981
0.0575, 1892
0.0585, 10806
0.0595, 18371
0.0605, 1826
0.0615, 1828
0.0625, 1775
0.0635, 1755
0.0645, 1863
0.0655, 1840
0.0665, 1804
0.0675, 8893
0.0685, 1806
0.0695, 3832
0.0705, 1762
0.0715, 1800
0.0725, 1783
0.0735, 1679
0.0745, 1803
0.0755, 1733
0.0765, 1692
0.0775, 1732
0.0785, 1692
0.0795, 1667
0.0805, 1669
0.0815, 1683
0.0825, 1660
0.0835, 1685
0.0845, 1748
0.0855, 1697
0.0865, 1723
0.0875, 1705
0.0885, 1697
0.0895, 1699
0.0905, 1521
0.0915, 1682
0.0925, 1692
0.0935, 1665
0.0945, 1659
0.0955, 1669
0.0965, 1694
0.0975, 1704
0.0985, 1641
0.0995, 1607
0.1005, 1604
0.1015, 1591
0.1025, 1647
0.1035, 1637
0.1045, 1642
0.1055, 1569
0.1065, 1571
0.1075, 1695
0.1085, 1612
0.1095, 1651
0.1105, 1632
0.1115, 1557
0.1125, 1635
0.1135, 1663
0.1145, 1644
0.1155, 1638
0.1165, 1626
0.1175, 1610
0.1185, 1662
0.1195, 1570
0.1205, 1624
0.1215, 1559
0.1225, 1602
0.1235, 1538
0.1245, 1626
0.1255, 1668
0.1265, 1587
0.1275, 1581
0.1285, 1550
0.1295, 1579
0.1305, 1652
0.1315, 1581
0.1325, 1599
0.1335, 1560
0.1345, 1617
0.1355, 1507
0.1365, 1612
0.1375, 1519
0.1385, 1630
0.1395, 1542
0.1405, 1511
0.1415, 1502
0.1425, 1541
0.1435, 1505
0.1445, 1554
0.1455, 1495
0.1465, 1564
0.1475, 1591
0.1485, 1536
0.1495, 1578
0.1505, 1559
0.1515, 1600
0.1525, 1574
0.1535, 1526
0.1545, 1530
0.1555, 1563
0.1565, 1481
0.1575, 1543
0.1585, 1530
0.1595, 1523
0.1605, 1527
0.1615, 1543
0.1625, 1505
0.1635, 1514
0.1645, 1557
0.1655, 1526
0.1665, 1496
0.1675, 1477
0.1685, 1548
0.1695, 1521
0.1705, 1633
0.1715, 1597
0.1725, 1613
0.1735, 1583
0.1745, 1637
0.1755, 1509
0.1765, 1619
0.1775, 1618
0.1785, 1513
0.1795, 1599
0.1805, 1595
0.1815, 1577
0.1825, 1497
0.1835, 1590
0.1845, 1642
0.1855, 1610
0.1865, 1605
0.1875, 1660
0.1885, 1615
0.1895, 1646
0.1905, 1542
0.1915, 1587
0.1925, 1579
0.1935, 1567
0.1945, 1599
0.1955, 1578
0.1965, 1553
0.1975, 1572
0.1985, 1544
0.1995, 1515
0.2005, 1527
0.2015, 1536
0.2025, 1548
0.2035, 1521
0.2045, 1523
0.2055, 1522
0.2065, 1525
0.2075, 1470
0.2085, 1461
0.2095, 1461
0.2105, 1429
0.2115, 1404
0.2125, 1476
0.2135, 1555
0.2145, 1593
0.2155, 1476
0.2165, 1438
0.2175, 1440
0.2185, 1499
0.2195, 1618
0.2205, 1505
0.2215, 1521
0.2225, 1515
0.2235, 1481
0.2245, 1417
0.2255, 1497
0.2265, 1459
0.2275, 1487
0.2285, 1467
0.2295, 1476
0.2305, 1559
0.2315, 1523
0.2325, 1433
0.2335, 1550
0.2345, 1526
0.2355, 1520
0.2365, 1562
0.2375, 1493
0.2385, 1518
0.2395, 1456
0.2405, 1472
0.2415, 1511
0.2425, 1508
0.2435, 1476
0.2445, 1511
0.2455, 1432
0.2465, 1471
0.2475, 1487
0.2485, 1505
0.2495, 1473
0.2505, 1503
0.2515, 1464
0.2525, 1722
0.2535, 1554
0.2545, 1495
0.2555, 1523
0.2565, 1555
0.2575, 1446
0.2585, 1498
0.2595, 1421
0.2605, 1509
0.2615, 1407
0.2625, 1469
0.2635, 1512
0.2645, 1515
0.2655, 1571
0.2665, 1580
0.2675, 1547
0.2685, 1580
0.2695, 1543
0.2705, 1542
0.2715, 1542
0.2725, 1557
0.2735, 1476
0.2745, 1562
0.2755, 1540
0.2765, 1505
0.2775, 1621
0.2785, 1630
0.2795, 1640
0.2805, 1647
0.2815, 1608
0.2825, 1595
0.2835, 1630
0.2845, 1582
0.2855, 1649
0.2865, 1702
0.2875, 1639
0.2885, 1585
0.2895, 1643
0.2905, 1729
0.2915, 1706
0.2925, 1680
0.2935, 1756
0.2945, 1789
0.2955, 1736
0.2965, 1738
0.2975, 1741
0.2985, 1789
0.2995, 1829
0.3005, 1806
0.3015, 1792
0.3025, 1889
0.3035, 1882
0.3045, 1827
0.3055, 1943
0.3065, 1899
0.3075, 1923
0.3085, 1996
0.3095, 2102
0.3105, 1981
0.3115, 2095
0.3125, 2112
0.3135, 2108
0.3145, 2084
0.3155, 2052
0.3165, 2108
0.3175, 2154
0.3185, 2173
0.3195, 2400
0.3205, 2211
0.3215, 2256
0.3225, 2279
0.3235, 2324
0.3245, 2253
0.3255, 2414
0.3265, 2407
0.3275, 2431
0.3285, 2493
0.3295, 2464
0.3305, 2504
0.3315, 2559
0.3325, 2554
0.3335, 2570
0.3345, 2620
0.3355, 2788
0.3365, 2694
0.3375, 2759
0.3385, 2796
0.3395, 2860
0.3405, 2359
0.3415, 1272
0.3425, 1294
0.3435, 1247
0.3445, 1191
0.3455, 1166
0.3465, 1153
0.3475, 1186
0.3485, 1190
0.3495, 1154
0.3505, 1151
0.3515, 1185
0.3525, 1099
0.3535, 1175
0.3545, 1121
0.3555, 1035
0.3565, 1057
0.3575, 1082
0.3585, 1039
0.3595, 1069
0.3605, 1052
0.3615, 1016
0.3625, 953
0.3635, 1009
0.3645, 993
0.3655, 916
0.3665, 989
0.3675, 901
0.3685, 932
0.3695, 994
0.3705, 979
0.3715, 884
0.3725, 928
0.3735, 924
0.3745, 901
0.3755, 859
0.3765, 886
0.3775, 829
0.3785, 853
0.3795, 819
0.3805, 817
0.3815, 753
0.3825, 789
0.3835, 850
0.3845, 808
0.3855, 768
0.3865, 725
0.3875, 732
0.3885, 707
0.3895, 709
0.3905, 703
0.3915, 698
0.3925, 671
0.3935, 708
0.3945, 733
0.3955, 696
0.3965, 613
0.3975, 699
0.3985, 674
0.3995, 646
0.4005, 649
0.4015, 624
0.4025, 613
0.4035, 541
0.4045, 556
0.4055, 576
0.4065, 580
0.4075, 575
0.4085, 557
0.4095, 534
0.4105, 490
0.4115, 487
0.4125, 494
0.4135, 485
0.4145, 482
0.4155, 481
0.4165, 509
0.4175, 461
0.4185, 434
0.4195, 452
0.4205, 443
0.4215, 447
0.4225, 447
0.4235, 429
0.4245, 414
0.4255, 411
0.4265, 384
0.4275, 411
0.4285, 407
0.4295, 411
0.4305, 402
0.4315, 416
0.4325, 429
0.4335, 438
0.4345, 411
0.4355, 377
0.4365, 361
0.4375, 353
0.4385, 387
0.4395, 344
0.4405, 336
0.4415, 374
0.4425, 332
0.4435, 321
0.4445, 340
0.4455, 302
0.4465, 339
0.4475, 322
0.4485, 335
0.4495, 340
0.4505, 322
0.4515, 355
0.4525, 349
0.4535, 305
0.4545, 337
0.4555, 321
0.4565, 324
0.4575, 309
0.4585, 311
0.4595, 329
0.4605, 301
0.4615, 321
0.4625, 296
0.4635, 280
0.4645, 322
0.4655, 295
0.4665, 318
